card1,card2,card3,card4,card5,card6,result
7C,KD,TD,JD,KS,8D,loss
7H,KH,QH,7S,JS,8H,loss
QH,TC,7D,8D,JS,9S,win
AH,TH,8H,KS,AC,9D,win
QC,6D,QS,KS,QD,JS,win
JS,TC,7C,JH,QS,TH,win
AS,JD,QD,8S,KD,JH,win
8S,AH,9C,7D,9D,6C,loss
7D,9D,9C,AD,KS,9S,win
6H,TC,7S,JH,6D,6S,win
TH,QH,8C,JH,9C,6D,win
AH,KC,7S,7D,8D,AC,loss
8C,9H,QD,QC,6S,9C,win
7S,6S,8S,8D,7C,6C,loss
QH,8S,9D,7H,KD,JD,loss
AH,AD,KD,TC,9D,8S,loss
QS,JH,JD,TC,TS,AC,loss
QS,7C,QC,9C,AH,KH,win
KD,QC,AH,JD,6C,QH,win
KC,6S,6H,AS,8C,JD,loss
TC,8S,AH,TH,JD,TS,win
JH,TC,6H,9C,7H,QD,loss
TS,6H,6C,KD,TD,JH,loss
7C,KH,9C,TS,8C,6C,win
KD,AS,KC,7C,6H,6D,loss
QS,9C,7H,7C,KD,JC,loss
AH,6D,QC,JS,KD,9D,loss
9S,8S,QH,KC,8D,AH,loss
9S,TH,7H,9C,TC,6D,loss
AD,TS,6C,9S,JH,TD,win
9S,AC,7C,KC,6S,KH,loss
QH,AC,7D,JS,QS,KH,win
QS,TC,AD,8S,AH,TS,win
TD,KH,TS,7C,KC,TH,win
AH,KD,7C,6D,QD,9D,win
9D,TC,6S,9C,9H,KH,win
8S,JS,TD,8H,9S,KH,win
QS,AH,AS,7S,JD,QD,win
TD,6D,KD,8C,7C,8H,loss
TD,TC,JH,QD,TH,9D,win
TH,8D,7D,JC,JD,AD,win
QC,7H,QD,JD,TC,TS,loss
KS,8S,AD,KH,TH,9D,win
AD,TC,QC,JH,KH,8H,win
6H,9C,KH,QS,JH,KD,loss
6D,AD,AS,TC,TD,7H,win
8D,TD,TC,7D,KC,8C,loss
7D,7H,7S,8H,9S,QH,win
6D,TC,AH,9D,JH,TD,loss
TS,AS,QC,8H,AC,AH,win
KD,QC,9C,7D,6S,8C,loss
TC,TD,KD,7H,TS,JD,win
JD,9H,6H,AD,6C,7S,loss
JC,JS,TS,KC,7C,AC,win
6H,QH,7D,6S,KH,AH,loss
AS,8H,AH,QD,6S,9S,loss
QC,AD,9C,TH,6S,TS,loss
6D,6H,9C,9D,AD,6C,win
QC,8H,KH,QD,KC,8S,win
TC,KD,9D,8D,7D,AD,win
7D,9D,8D,7C,JD,7H,win
QH,AD,QC,8H,6D,9D,win
8C,KH,JD,6S,9C,7C,win
KS,TH,8S,7H,9D,7S,loss
7S,TD,9H,JC,7H,TS,loss
KC,AD,7D,TH,6H,TS,loss
AC,KC,7H,8C,9D,QH,loss
7S,QD,7D,QC,KH,8C,loss
AS,KH,9S,JC,7S,6S,loss
AD,QS,KS,KH,JS,TS,win
QH,7D,JD,6C,TS,AD,loss
AC,QD,7C,6C,TS,JD,win
KH,7H,AD,QC,QS,JD,loss
QS,QH,QC,KC,9H,TD,win
JD,8C,8S,JS,8D,QD,win
QC,8H,JH,JC,7H,8D,win
7C,9S,8C,QH,8S,JS,loss
6S,6D,JH,8D,9S,9C,loss
TD,9S,8D,6S,QD,KC,loss
AS,QC,JS,AH,AD,6H,win
8S,6S,6D,KH,KD,QH,loss
TH,9D,8H,JH,6D,AD,win
TD,QD,JC,KC,JD,QH,win
9D,QC,8D,AH,QS,AS,loss
KC,AC,TS,7H,7C,KH,loss
7S,JS,TC,7H,6S,7C,win
7H,8D,6S,9H,TD,QS,win
9H,KC,9S,6C,KS,KD,win
6H,8C,6S,JD,9C,9H,loss
AD,6H,KH,9D,6S,7S,loss
7S,AS,6D,KC,9H,7H,win
KD,TH,QD,KH,QH,JD,win
7H,9H,8D,AH,6C,KH,loss
9C,AH,7C,KC,8C,JH,loss
TH,JC,KH,8H,JS,7H,win
6H,KH,AS,JD,JC,6D,win
QH,6H,9C,KS,6D,TS,loss
TS,AD,9S,9D,JH,6C,win
7C,7S,7D,9S,6C,KD,win
7H,QH,AS,TS,6D,9C,loss
