card1,card2,card3,card4,card5,card6,result
KS,QS,8S,8H,TS,7S,win
QD,7S,AD,TH,KH,JD,win
JS,TD,TC,6S,AH,7C,win
6H,6S,QC,AC,9C,KH,win
8C,JH,AC,7D,QH,QS,loss
KH,8S,JS,QC,QS,TH,loss
AS,7C,KD,9C,6C,KS,win
KS,7D,KC,TC,9C,8C,win
8C,8H,9C,7D,9H,AD,loss
8S,8D,KC,QC,TD,6D,loss
JS,AC,AH,JC,TC,QS,loss
TC,9C,8D,AC,KS,6C,loss
KH,KC,8D,AH,QD,8H,loss
6H,6S,QC,7H,JS,9D,loss
TH,TD,AH,JD,AS,7H,win
AC,JC,JD,9H,6H,7C,win
6D,QD,TS,6S,KC,8C,loss
9C,7D,KD,AS,JH,KH,loss
JC,KS,JD,QH,TH,QS,win
7D,AD,6S,QS,7H,9C,loss
9C,TD,6S,TS,8S,JH,loss
AH,8C,TD,6D,7S,KD,loss
9S,JS,QS,8S,8C,JH,win
8S,9C,7H,AH,7D,6S,loss
6H,9C,AC,8C,9D,9S,win
7D,QC,7S,KS,7C,QS,win
QD,TH,KS,9S,7D,7S,loss
9S,8H,7D,TC,JC,TD,win
TH,TS,KC,9S,6D,7H,loss
KD,6D,QS,AD,TD,QH,win
9H,8C,6S,9D,8D,AD,win
KS,TH,KH,QD,7S,8H,loss
9C,6S,8D,AS,8C,TD,loss
QD,8C,AD,JS,KC,9H,loss
JS,6H,KD,8C,7S,AC,loss
8C,QC,QS,KD,6H,JD,loss
6S,TC,KH,6H,AD,8D,loss
7D,TC,9D,KC,JH,6C,win
7H,QD,TH,7S,KH,6D,loss
6D,AC,QH,9D,8S,QD,loss
6H,JH,TC,KH,9S,TH,loss
KC,TC,8H,7C,9C,9H,loss
TD,JD,AS,TS,QS,7D,win
9C,9H,QH,AH,7C,9D,win
6D,TH,6H,KC,9C,QD,loss
JS,6H,7H,JC,9D,KD,loss
7C,9H,7S,8S,KH,9C,win
JC,JD,9C,JS,QH,8C,win
9D,JH,9S,7S,9C,6H,win
QH,KH,KS,7D,AS,7C,win
7D,6H,JS,QD,KC,JD,loss
7C,7S,AC,JD,JH,8D,loss
KH,KD,QH,QD,8H,QS,win
8D,6C,TH,JC,6H,AH,loss
8H,7H,QC,TC,6D,TH,loss
TD,7C,8S,KD,7D,JH,win
8S,QD,TD,AH,7H,KC,loss
6S,KH,8S,KS,6C,JH,loss
9H,QS,6D,7C,9S,AD,win
6S,6D,TD,AC,KH,7D,loss
KD,TH,9S,JH,9H,6C,loss
7H,8D,TS,9C,QC,QS,loss
6C,8D,AS,7S,8H,JH,win
6H,AD,QH,7C,9H,7S,win
6H,9C,AD,7C,9D,AH,loss
9H,QC,AC,9S,AD,TD,win
KD,9D,8D,7S,AH,JH,loss
AS,KH,AD,6H,8H,JD,win
6S,JC,QH,6H,9C,7H,loss
9D,JD,KC,JS,AD,7D,loss
6H,6S,AH,8S,JS,QD,win
6D,9D,9H,8H,JD,TC,loss
7H,8S,KS,TH,AD,6S,loss
QS,6H,6C,8C,7H,9D,loss
8S,JD,9D,AS,KH,JH,loss
JD,KD,KC,TH,6H,7D,loss
9D,TH,JD,7D,QH,QC,win
JD,QD,TD,7S,JS,KH,loss
KC,QS,AD,JD,QH,8H,win
JD,9C,8H,7H,JS,8D,win
6D,JC,KC,TS,7C,QD,win
TH,7C,TS,JD,KD,JS,win
9C,JC,7S,QH,9S,JS,loss
JS,KH,QC,KD,KC,KS,win
QD,8D,TD,8S,7D,TS,win
JD,7S,AH,8D,AS,8C,win
7S,TD,AD,JH,6S,9D,loss
AD,JC,QC,AS,JH,7C,loss
7S,KD,6C,JH,JS,AS,loss
KS,TD,8H,7H,JC,6H,loss
AC,7C,AH,TD,8H,JS,loss
8H,JH,6D,7S,6C,QC,loss
7H,TH,8D,7D,JH,TD,loss
TC,KH,AS,QD,JH,8D,win
9H,8S,8D,8C,TC,AC,win
QC,9S,KH,AS,TS,JS,win
KD,KS,TC,QH,QS,8D,loss
7C,8H,JS,TC,AD,TH,loss
JS,AD,8D,TC,TH,7S,loss
QC,AC,QS,TC,KD,7H,win
8S,JD,7C,9D,9C,8C,win
QC,TD,JS,9C,8H,8D,loss
JD,6D,8C,9S,QS,QH,loss
9H,7D,JH,AS,TH,KH,loss
8H,AH,QS,8S,AS,AC,win
7D,9H,KS,6D,QC,8S,loss
8C,7C,9D,7S,AH,AD,loss
9C,6C,TD,JC,9H,JH,win
7H,9H,8H,QS,AH,TD,win
JC,9S,KC,JD,9D,QC,win
JC,KS,9S,TH,KD,8H,loss
AD,6D,AC,QH,7D,8S,loss
JS,7C,AS,9H,9S,7D,loss
KD,7D,JS,TH,QC,TD,win
9C,QS,QC,TD,TH,8S,loss
6C,TH,JH,QS,7D,7H,loss
JC,KH,JD,7D,QH,AD,win
KD,8H,AH,AC,JS,AD,win
QS,9S,KS,JH,8D,AS,loss
6D,8S,TD,AH,6H,QC,win
9C,6S,TD,JH,KS,AS,loss
7H,AC,AH,JC,9D,6H,loss
7D,8C,JD,JH,7S,9S,loss
AH,TH,TS,KC,6C,QC,loss
JD,8C,JC,9H,9C,AH,win
7C,JH,AC,AS,7S,9S,loss
9D,7S,QS,7C,8C,8D,win
AS,6C,TS,QH,6H,JH,loss
TC,QH,7C,KC,9S,TS,loss
9S,AH,6H,9C,KS,8C,win
8C,8S,AC,6D,7H,8D,win
9H,7S,TS,TC,7H,AD,loss
9H,8C,6H,7D,KH,QS,loss
9S,QH,KH,TD,QC,8S,win
8C,KH,AD,TD,8H,JD,loss
TS,TH,KD,7S,TC,9S,win
9D,JS,AD,9C,7S,6S,loss
7S,9D,9H,8H,9S,7H,loss
6D,QC,JD,JC,TH,8S,win
AD,9C,9D,KD,AH,AS,win
7C,JC,7D,8S,AH,AS,win
7C,AH,8C,KS,6S,TD,loss
JC,9S,8D,6H,AS,6C,loss
6H,7S,JS,9H,9S,KD,loss
TS,QS,JD,6H,7C,AS,loss
9D,JD,TD,9H,9S,8D,win
8D,9H,JH,QC,TH,AC,win
QS,9H,7C,TC,8S,9C,loss
6C,KD,9S,KC,AH,7C,win
6S,TS,JS,AC,TH,8H,win
8D,6S,7S,KS,9C,AD,loss
6C,8H,AD,JH,7C,6D,loss
8H,QS,8D,JH,KD,9H,loss
QS,8H,AH,KH,KD,7D,loss
QH,QS,QC,8D,6C,AS,win
KD,AD,6H,6D,KH,7C,win
9C,AS,TC,KC,7S,QD,loss
7S,AC,KS,KD,7C,8D,loss
7C,JS,8S,JH,7H,6D,win
QC,TC,9H,6D,9C,9D,win
9H,6D,JD,9S,8H,9C,win
9H,TD,6S,JD,QC,JS,loss
KH,JC,7H,TC,JD,KD,win
TC,TD,8D,KS,QH,KC,win
7C,9C,KS,8H,9S,AS,loss
KH,7H,AH,QC,JD,KS,loss
TH,TD,QD,9H,JS,8H,loss
6S,QH,8S,TD,KD,AH,loss
6S,JC,TD,9S,9H,8C,win
KC,AC,TH,9H,JC,8C,win
7S,JC,7C,9D,9S,6C,win
8D,JD,TH,TD,TC,AH,win
8S,AC,TH,TS,AD,QH,win
JH,AC,JS,6C,7H,QH,loss
KC,QH,AC,JH,KS,AD,win
KD,AD,9D,KC,9C,6S,win
JC,AS,9C,TS,QH,QS,win
7H,QC,6D,TD,KD,TH,win
6S,7H,KC,8S,6H,AC,loss
QC,KC,9H,6C,JD,JC,loss
7S,8S,6H,8H,TC,8D,win
QS,7D,KS,9S,6C,9D,loss
AH,JH,7S,AS,6S,KD,win
QC,6H,QD,8C,7C,KS,win
AC,6C,TD,9H,8D,QC,loss
JH,TD,JC,AC,KD,6D,loss
KH,AC,9H,9C,7D,JS,loss
QC,6C,9C,JC,TD,TH,loss
KS,KH,TH,7D,8D,6D,loss
7S,KS,AD,QH,QS,9S,win
AC,8H,KC,9D,7S,JD,loss
QH,6D,TH,TC,KS,6C,loss
9C,JC,TH,QD,AS,JH,loss
JC,JH,JS,8C,QS,7S,win
7H,QC,9D,TH,QD,QS,win
AC,6S,KS,6D,7D,9D,loss
JH,TH,KC,7S,JD,9C,loss
KC,6S,9D,JC,JS,QC,loss
TC,JD,9H,JH,JC,9D,win
6D,KC,9D,TS,6H,7H,win
QS,8S,7D,QC,QH,AS,win
7H,QS,AS,9H,6C,QC,win
KS,9H,KH,8D,TD,7S,win
TS,KC,7S,9C,QC,8S,loss
KD,JC,7C,8S,KC,QD,win
9H,TD,7C,AD,7H,9C,win
TS,8S,8C,9H,8D,6H,win
6C,TC,JS,6H,8C,JH,win
6C,7D,JC,TC,9S,KC,loss
JD,6H,JH,7D,7C,7H,win
6D,9C,JS,7S,KH,7C,loss
TS,KC,QH,9D,JC,8C,win
6H,JD,TD,TH,QC,8S,loss
KH,KS,7C,7S,9C,7H,win
6C,KD,7D,9D,TH,JS,loss
8H,KS,8D,AS,JH,9S,loss
9S,QS,AS,7S,8S,KH,win
QH,TS,9D,TD,9S,6D,loss
KH,JD,6H,9S,TH,QS,win
AH,KH,JC,TS,QC,8D,win
TD,6C,KC,6H,KD,8H,loss
9H,QD,7D,AS,8H,7S,loss
KH,7D,JS,JC,6C,AC,loss
QC,8C,7S,QD,8D,9S,loss
TD,7D,8D,AC,KS,9S,loss
JS,QC,7S,QS,AD,TD,loss
KC,8S,AC,7S,TD,6H,loss
KC,8C,9S,8H,6H,QH,loss
8C,8S,KH,6S,TH,6C,win
9D,TS,JS,8C,QC,8D,win
9C,KD,7D,TS,8C,6H,win
JD,8S,QD,TS,9H,6C,win
8D,8H,AC,QD,AS,TS,win
9S,KC,8C,QD,6S,7S,loss
7H,KS,QS,KD,TD,8H,loss
QC,KC,9C,TH,QH,8H,win
JS,JC,8S,QS,TH,6H,loss
7D,AH,8H,KH,6D,9D,loss
QC,TH,7H,TS,TD,8C,win
6C,6D,AS,TD,9H,9S,loss
KH,QS,JS,9C,7D,8H,loss
AH,TH,KH,9H,JC,QS,loss
TD,TC,8H,JS,TS,AD,win
TC,8S,6C,8D,7C,9S,win
8S,AD,6H,6S,TH,JS,loss
8C,JS,TH,JC,9H,KD,win
9D,JC,6H,JS,AH,AC,win
AH,9C,JS,7D,AC,KS,loss
6C,TC,6S,6D,KH,QH,win
KH,JH,7H,TD,TS,6H,loss
9S,KS,AD,TC,8S,TH,win
JD,7C,KS,7H,JH,QH,win
9H,JC,6H,AH,9D,7D,win
8H,9D,7D,QC,TD,JC,loss
8H,8C,TC,AD,9S,9H,win
8H,JS,AS,KC,KD,TS,loss
AH,KD,9D,JC,TS,AD,loss
JD,KD,6D,6S,QH,JH,win
TD,8H,TS,9H,7S,8C,win
KH,JS,AS,KD,JD,8S,loss
8D,6S,KS,JS,9D,QS,win
JH,JS,8H,8S,8D,7H,win
6C,9D,7D,TD,7H,KC,win
KH,9D,AH,8S,TS,JD,loss
7D,QC,JC,QH,AC,8H,win
TS,6S,JH,JS,KS,AC,loss
QD,6S,TH,9S,6C,AH,loss
6D,JD,7D,QD,6H,TC,win
TS,8H,JD,TD,AC,7D,win
7S,AC,QS,JH,AD,TH,loss
TC,AH,TD,9D,7D,9C,win
TH,KD,9D,6C,KC,AD,win
JH,QS,QD,7D,7S,6H,win
AD,6D,6H,KC,9H,TH,loss
TS,TC,JC,9C,JH,7S,loss
7D,JH,AC,7H,9C,QH,loss
8S,7D,AH,QD,TD,KD,loss
TH,QH,AD,KH,KC,QC,win
7H,8C,AS,JC,KH,QC,loss
6S,TC,KC,6C,7H,TH,win
8S,QH,TC,KS,TS,7S,loss
6D,TD,QD,8D,AH,KC,win
QD,JD,QH,8S,AC,AS,win
QH,8C,QD,8S,7S,AC,win
9D,7D,KD,QC,6S,JH,loss
JS,8S,QS,6H,7S,8C,win
TH,TS,6D,AD,6C,JS,win
6D,AD,6C,8C,KS,7H,loss
TS,TC,7S,6H,9D,AD,win
JD,7C,AH,7H,QD,AS,loss
7D,7H,AH,8S,AS,TD,loss
AH,AS,AC,6H,KS,JC,win
6H,6C,QC,8H,7D,AH,loss
9H,QS,QH,8D,TH,8H,win
KH,QD,TS,9C,JD,7C,win
KC,6H,8S,7C,9D,TD,loss
6H,9C,QC,9H,9D,QS,win
9C,8S,KC,JD,9D,8H,win
7D,TS,6S,KS,AD,8C,loss
AH,AD,6H,8D,KD,QD,loss
7C,AD,JH,8C,TS,8D,loss
7S,9D,6S,6D,7D,TC,loss
JD,AD,9C,9S,8S,8H,loss
KS,KH,QS,8C,TD,AC,win
QC,TS,9S,7C,KD,JD,loss
KS,6H,9D,AH,JH,KC,win
KC,TD,8H,JD,TH,7S,loss
8D,TD,7H,9D,AH,7C,win
TH,8S,QH,9D,AH,7C,loss
TC,7S,AS,9D,JH,AC,win
KS,TS,7S,6H,QD,AH,loss
AC,9C,AH,9D,6S,6H,win
8C,KS,8S,KD,TC,9H,loss
JS,KS,7C,AD,QC,TH,loss
KD,KH,QH,7S,8D,6C,win
8H,JS,7D,TC,QC,AH,loss
6C,JS,TH,8C,9H,9S,loss
TS,6C,AC,KS,JD,QD,win
AH,8S,KS,KD,7C,9S,win
9H,6D,JS,JD,KC,QC,loss
7H,9D,8S,JC,AH,7S,loss
JC,TS,6S,9D,9S,8H,loss
KS,6H,8H,AS,TH,9H,loss
KH,TD,QH,7H,9H,8C,win
KH,QS,9H,9C,7S,TS,loss
8H,AC,9S,7S,TS,TH,win
6C,QH,9D,7H,9H,6H,loss
7C,KH,6D,QC,AC,6S,loss
AD,QC,QD,QH,JD,9C,win
TS,KS,KD,9C,TD,7H,loss
TS,9C,QS,KD,JS,8C,loss
9C,6C,6D,7S,JH,QH,loss
KC,AD,QH,JH,AC,AH,win
8C,QH,KS,JC,9S,9D,loss
AC,KC,AS,6H,8D,TS,loss
6H,9H,JH,KD,AS,QH,loss
7H,7D,6D,6S,KD,9D,loss
JC,7S,7C,KH,6S,7H,win
QH,9C,QC,6C,JC,TD,win
QC,7S,9S,AC,7D,6D,loss
TS,6H,7D,6D,JS,6C,win
8C,JD,JS,9C,KH,7C,win
QD,KS,JS,AH,AS,TH,loss
6H,TC,JD,AD,QH,JS,loss
6S,9C,6D,9H,8D,TS,loss
JC,QC,8S,TS,AS,JD,win
QC,6D,TH,AS,KH,6H,loss
TC,AC,8C,KH,8D,JD,win
KH,QD,7S,6C,KS,8C,win
AS,TH,QS,TD,KS,8S,loss
KS,TH,QS,7S,KD,TD,loss
8D,7C,9D,KS,9C,AD,loss
TS,KH,JD,KS,7D,AD,win
9H,TS,7D,7H,JH,9C,win
8C,QS,7D,6H,KH,KS,loss
6D,QS,QH,6S,AD,JS,loss
AD,9S,AC,TC,8C,KH,loss
9H,KD,7S,JC,8H,JD,win
QD,JC,QC,QH,6D,AS,win
9H,QC,TC,KD,8H,6S,win
KH,AD,QH,7D,JS,JC,loss
KH,7H,JD,6S,AD,7D,loss
JH,QC,AD,KH,AS,QH,win
JC,TS,8D,KH,7S,7C,win
8H,KS,KD,TC,JC,QC,loss
AS,KC,KH,KS,JD,JC,win
7H,9D,8S,QC,6C,KS,win
7C,TD,KC,TS,TH,8H,win
6S,AS,6H,TC,JC,TS,loss
AS,TH,QS,TC,6S,QH,win
KD,7H,KS,7C,8S,AH,win
9H,8C,7C,7H,9D,TC,loss
KC,7C,KD,QH,9C,JD,win
QH,KS,8D,JH,7S,KC,win
QH,TD,6C,KS,AD,6S,loss
KH,9C,TH,6S,8D,9D,win
AS,7H,QD,7S,TH,QS,loss
TD,8C,KD,TC,6D,QD,win
KH,9H,JD,6D,KD,KC,win
TS,7S,6S,7C,KC,JH,loss
9H,JH,JC,7D,QS,6D,win
7S,7D,6S,9S,AD,7H,win
6D,7C,TH,TS,7D,QD,win
7D,TD,TS,8S,9C,6C,win
QC,KH,7C,JS,6C,6S,win
9C,JC,KC,JS,7H,AS,loss
JH,QD,AS,7S,8C,6S,loss
AH,QD,6C,TD,6S,7S,loss
AD,KC,9D,AH,AS,6C,win
KS,8H,KD,AD,7D,JH,win
TD,QS,9H,6C,QH,KC,win
QH,6D,7S,KH,7C,QS,loss
6H,6D,QC,JH,8S,7H,loss
JH,8D,6H,KS,7S,QD,loss
JC,9S,QC,6S,9D,QH,loss
JS,JD,AC,KC,KH,QH,loss
7S,QS,9C,KH,6C,9D,loss
6C,TS,QS,TC,KH,TH,win
7S,6C,9C,9S,6S,8D,loss
JS,TC,8S,AH,QH,7S,loss
9C,8S,8C,7D,QS,AC,loss
7C,JH,8S,KD,6D,QH,loss
TH,JS,AS,KH,TC,6D,win
6H,KD,TC,9C,8D,8C,loss
9D,TH,QC,TD,JC,QD,loss
KC,KD,6D,JC,7H,9S,win
JC,TD,QS,TC,AH,6H,loss
TH,AC,6C,QH,QD,8D,loss
6S,QC,6H,TH,JC,KH,loss
7H,8S,8D,7S,9C,8C,win
9H,TD,TS,6S,8H,9C,win
QD,7C,6S,AD,QC,KS,win
6C,KS,9D,8H,QH,AD,loss
AH,TS,6D,6S,AS,TD,loss
TS,8H,JD,7D,KC,7C,loss
6S,QH,6H,KS,JD,KH,loss
7H,KD,TD,TC,8C,AC,loss
6S,6C,8D,KC,8C,TH,loss
TS,KD,TC,KC,9S,AH,win
KD,JS,AC,AD,TD,6C,loss
QS,TH,8S,KD,QC,QD,win
7S,QS,8C,KD,6C,QD,win
9C,8D,AH,8C,9H,TH,loss
7C,QH,8D,AC,6H,JS,win
8C,7H,QD,9H,KH,JS,loss
AD,6D,8D,QS,9S,8C,loss
7S,7D,QH,6C,TC,TH,loss
6D,9C,JS,KH,7H,8H,loss
KH,KS,6C,QD,TC,9S,loss
QS,JD,7S,9D,KS,8H,loss
7H,QS,6H,QD,AH,7S,loss
AD,7H,8S,9D,QC,6S,loss
QD,KH,KS,JH,KC,AS,win
KD,KH,9H,AS,6H,6D,win
QC,8S,7C,KC,JD,KS,loss
9C,KD,6D,KS,JD,9S,win
8D,TH,9H,8S,6D,QS,loss
KH,QS,7H,QH,9S,8D,loss
JC,6S,9D,TD,TC,8S,loss
AC,KS,6D,QS,KD,6H,loss
TC,7C,6D,8D,7D,8C,loss
KH,8H,6C,9D,JD,6D,loss
TC,9H,7D,9D,6S,QS,loss
TC,9H,QD,KD,9C,6D,win
AC,AS,TD,6H,TS,QD,loss
AS,7C,QS,9C,JC,TD,loss
KC,6C,AC,JD,8H,7S,loss
KC,6D,KD,6H,JC,7S,win
QH,6D,6S,KC,TC,7C,win
9C,JC,6H,JS,QD,7H,loss
6D,8H,9C,7C,6S,7D,win
6H,AS,7C,7D,JC,6D,loss
7H,QS,6D,7D,6H,AD,win
9C,7S,JH,6C,8C,KH,win
QD,7D,9C,KS,QS,QC,win
AD,9H,7H,6C,JC,AS,win
AS,8H,9S,7H,8S,QH,loss
7H,KD,8H,KS,6D,KH,win
8S,QC,JC,AS,QH,9C,win
TC,6S,QD,AH,9D,7S,loss
QH,QD,6H,AD,KH,7D,win
TH,QD,TS,TC,QC,8S,win
7C,AS,JD,QD,9S,TC,loss
AH,8D,TH,6D,7H,TC,loss
9C,KC,TC,KD,9D,AD,loss
6S,TD,7H,TS,KS,8S,win
QC,KC,AD,QD,6D,JD,win
QH,7D,KC,9H,TD,AH,loss
6D,TC,JS,AS,9H,6C,loss
9S,6D,QH,TH,9D,KD,loss
9D,TS,JD,KC,8C,6S,win
AH,AS,6H,JS,9S,7D,win
JC,KC,JS,7D,7H,TS,loss
QS,6D,QH,KD,6S,7D,win
6H,AS,9C,6C,JH,6D,win
TH,7C,7S,AD,JH,KH,win
6C,7S,8C,KH,6D,AH,loss
KC,JC,TH,TS,QD,AH,win
JH,9H,KC,7D,TH,KS,win
JD,TD,8C,9S,QC,AC,win
9C,JC,QC,JS,9D,6S,win
6D,AS,8C,6H,QH,AC,loss
7D,QH,QD,KD,6C,JC,loss
9S,AS,JH,JC,TD,8D,win
QC,QH,8H,QS,AC,TC,win
9H,8C,JD,8D,6C,QS,win
TH,9H,KH,7S,6H,JC,loss
8D,JH,6H,TH,9C,8S,loss
9H,9S,JC,9C,7H,JD,win
TH,JS,AS,TS,9H,8H,win
JC,QH,TC,KH,AC,QD,win
KC,7H,9D,TH,8H,9S,loss
8H,QH,9C,6C,9H,6D,loss
TH,JD,AD,JH,KH,TS,win
6S,6D,6H,AD,TC,9S,win
KD,7C,QC,JD,KS,AS,loss
AC,TD,7D,8D,TS,6S,win
6H,AS,7C,KD,9H,KS,loss
JC,6S,7H,9S,6H,JH,win
9H,QD,KS,JC,7S,AD,win
JC,8H,9D,TH,QD,9S,win
9S,KC,7C,6D,8D,9D,loss
TD,8C,9S,6D,KH,AH,loss
8D,JC,KC,KS,7D,8S,win
JD,TH,QC,TC,7H,7S,win
AD,TS,6D,KH,QC,9C,loss
TS,TD,QH,7S,7D,QC,win
9S,7D,TC,AD,TS,9C,win
AH,AS,QD,7D,9H,7C,win
TD,6C,7D,AC,QC,7S,loss
7C,KD,8C,7S,TH,JD,win
QC,9H,KD,TS,KS,7C,loss
KC,AS,KD,8S,AC,8H,loss
KS,AS,8C,9H,8H,AH,loss
QH,KH,8D,TH,8H,7C,loss
TH,JS,7H,8C,8D,QD,loss
7D,9D,QS,KC,6S,AH,loss
9S,QH,8S,9H,6H,7H,win
KC,KD,QH,8C,JH,AH,loss
8S,9H,7D,6D,8D,QH,win
TD,9H,8H,6D,7C,8S,win
TS,JH,JC,7S,8H,6C,win
8S,8D,TS,7D,JH,9D,win
TS,9C,6H,9D,JS,7S,win
AS,KD,9C,TD,8C,TH,loss
9D,6S,QS,9H,8H,8S,loss
9H,AH,AS,TD,JH,6D,loss
JC,TD,9C,AS,TC,QS,win
7S,JS,9H,JD,6D,AC,win
7H,6S,JD,AH,8S,9S,loss
7S,8S,QH,6D,8D,KC,loss
JS,9H,JH,KS,7D,QH,loss
AH,KH,8C,QD,6C,8H,loss
TC,AC,7S,QH,6H,7H,loss
KH,AD,AH,TS,KS,TD,loss
8H,TC,KC,8D,QS,QC,loss
7D,KD,9H,QC,QD,TD,loss
TS,6S,TC,KC,TD,JS,win
7D,6D,8D,KS,TD,7C,loss
KS,9D,AH,8C,TC,TH,loss
9S,JC,7C,9H,7S,KH,loss
8D,QD,6C,TD,7S,KS,loss
QD,6D,6C,9S,9D,AC,loss
TC,6D,9D,9C,QC,AS,loss
6D,KS,9C,AH,QD,AD,loss
AC,7S,TD,AS,6H,TS,win
TC,TH,8S,KD,7S,QH,win
QD,JH,QS,AH,7H,9D,win
9S,6S,9D,8C,7D,QS,win
JD,7D,AD,6D,QH,JS,win
7S,TH,9S,TS,KC,QS,win
QC,9C,QH,6S,6H,KS,win
JC,9C,7D,7H,JS,QC,win
6D,KH,9D,JS,QS,KS,win
JD,8C,KH,8D,8H,QC,win
KH,QD,9H,JS,JD,AD,win
6S,JH,8H,AD,TS,6D,loss
9H,TC,TH,9C,8C,JC,win
9D,9H,AS,6S,7D,TD,win
QH,6C,9H,KS,9S,TS,loss
TD,9S,JH,7H,7C,KD,win
TD,KC,8C,QD,KS,6S,win
KS,TC,QC,AH,TH,AC,win
AH,JD,9H,QC,TS,9D,loss
7S,JD,AD,KS,KC,JC,loss
KC,AH,7S,8C,AD,QD,loss
AD,JD,7S,TD,KS,KD,loss
JC,TH,KD,7C,KS,KH,loss
8H,JH,KD,9D,7S,TH,win
KH,9C,JD,9D,KC,7H,win
KD,KH,JC,8D,7H,9D,win
8S,AH,JD,KS,9D,8D,win
7D,8D,QC,KS,9H,7C,win
6S,JH,7C,JD,6D,9S,loss
8C,QH,6D,9H,AS,7C,loss
8D,KH,AC,9D,6D,JH,loss
KH,6C,QC,9S,JD,JH,loss
KD,6C,QC,6S,7C,8H,loss
KS,8D,JC,9S,JS,QC,loss
TH,TC,QS,AS,AC,8H,win
AH,JS,6C,AS,7S,8C,win
7D,AD,KD,8H,7H,JS,win
JD,7C,7S,9D,AH,8S,loss
JD,6D,9S,KC,9D,QS,win
8D,8C,AC,8S,7H,JC,win
JS,KD,TD,6C,QH,QC,loss
KD,8C,8S,9S,8H,9D,win
7C,KC,8H,JH,6C,7H,loss
KC,8S,9D,7C,7S,9C,loss
TS,KH,7H,9H,QD,6D,loss
JD,8H,8D,AC,JC,6H,win
8S,8H,KS,6D,JS,AC,loss
AH,6D,QD,JH,AS,TC,loss
TC,8H,AS,QH,9S,QS,loss
AH,AD,7H,9D,7C,8H,win
9D,TD,QC,6H,JH,KS,win
JC,KD,TS,6D,QD,QH,loss
6C,AH,TC,KC,7H,QS,loss
9S,6D,7D,9C,6S,9D,win
6D,6C,8S,AC,JS,9S,loss
TD,TH,KD,6H,7S,KS,win
6S,JC,TS,9C,QH,9S,win
9D,KS,6S,TH,7D,8S,win
TH,KS,KH,9H,6C,KD,win
AC,KS,6S,JS,9C,JH,loss
AS,AD,9C,6C,7S,QC,win
KC,8D,7S,6S,JH,TH,loss
AD,9C,TH,KH,QC,QD,loss
7H,QH,7S,9D,AS,JS,win
KS,QS,8H,TC,JH,9S,win
QC,TH,JS,9C,9S,JH,win
6C,7D,JD,AS,7H,QH,loss
6C,AH,TH,7D,8S,QC,loss
TC,8H,7C,JD,9C,AH,win
AD,8D,8S,JC,6H,JD,loss
6H,KC,8C,8S,7H,6D,win
8D,KS,6D,9D,8S,7D,loss
AH,QC,JH,TC,9D,6S,win
TC,AD,8H,8C,7D,QD,loss
AC,KS,7C,6S,9H,QC,loss
7D,9C,AH,6D,AS,TS,loss
8D,TH,6S,KD,AS,AH,win
JC,TC,AH,9S,8C,9H,win
7S,6S,TD,JH,KC,TC,loss
7D,KC,9D,JH,TS,7S,loss
7H,KD,QC,QH,8D,KC,loss
7D,KS,QS,TD,7S,KH,win
AC,7C,QC,KS,TC,6D,win
7H,7D,TD,7C,8D,TS,win
9D,JD,QH,AH,8D,JS,loss
7C,QS,7H,8H,6C,8C,win
QS,QC,AD,QD,TD,8H,win
7H,TH,QC,JC,QD,JH,loss
8D,TH,7D,AS,6S,9D,win
9H,JD,7D,KD,AC,JS,loss
AS,8S,9H,TS,KH,9S,loss
8D,7C,QC,7S,AD,AC,win
TH,QC,7C,TD,6H,AH,win
TS,TD,9D,9H,8S,QC,loss
TD,TC,TS,6S,6H,AC,win
QD,KS,TH,KC,TC,8H,win
TC,JC,QD,AC,6D,8S,win
TD,QD,8D,QS,AH,JH,win
8C,8H,QD,9C,AS,6C,loss
9C,JH,8H,AC,KS,QC,win
JD,7C,9D,QS,6S,QC,loss
8H,9H,7C,QC,KC,AD,loss
KC,9C,TH,7D,AS,9H,loss
6H,8S,KD,AH,TC,9C,loss
QH,6H,8H,JD,QD,8C,loss
TD,AS,JS,AD,9D,7H,win
JS,9S,8D,JH,TH,KH,loss
6H,QD,9H,KC,JH,KS,loss
TC,9D,QD,AH,JS,8S,win
9H,JH,8H,QC,TC,TS,loss
KD,9C,7D,TS,6C,AS,loss
8D,7H,TS,JS,6H,AD,loss
8C,7D,9H,QC,6C,TC,win
6S,KH,7H,KC,AC,6H,win
8D,7S,8C,7H,8H,QD,win
KS,9C,JD,QD,6D,KD,loss
7S,KD,9D,7D,KH,8S,win
8C,8S,9C,JD,AD,TC,loss
8H,9S,TC,7S,JC,QD,win
6C,TC,9C,6S,JC,8C,win
6C,JC,JH,7S,QH,8S,loss
7S,8D,6S,TS,9C,TC,win
AH,8C,KD,QD,JC,9S,loss
TD,TS,QH,7H,JD,7S,win
7D,8C,QH,6H,TD,AS,win
TC,KD,8D,8H,JC,QH,win
AS,8S,TC,6D,JS,6H,loss
AC,QS,JS,9C,7C,JC,loss
KD,7S,QC,9H,TS,JS,win
7H,AC,TD,8H,9H,JS,loss
8S,QC,KC,9C,7H,8C,win
KD,KS,AS,QC,7C,JD,win
9C,KC,QS,AH,6S,JH,loss
8H,9S,9H,JS,6C,AD,loss
9S,AC,JD,AS,7D,QH,loss
TC,TS,8S,JH,TH,6S,win
