card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
TC,8D,7S,AD,JH,TH,c,r,r,loss
AH,9H,6C,7S,8S,6S,r,c,r,loss
QS,JS,TD,AH,JH,TS,c,c,r,loss
9D,JD,8H,8D,6S,6D,c,r,r,loss
8D,QH,JS,8C,KS,QS,c,c,c,win
9D,TH,JC,TD,KH,9S,r,r,r,loss
TC,7H,KD,QS,9H,6H,r,r,r,loss
9D,8C,8H,TS,AD,6D,r,r,r,loss
KD,JC,6S,KS,7S,KH,c,c,r,loss
JH,KS,AS,7H,6D,8C,r,r,r,loss
AC,AH,QD,QC,JD,KH,c,r,r,win
AH,9C,TH,KC,JS,8D,c,c,r,win
KH,6H,JS,7D,9H,6C,r,r,r,win
KH,8S,QD,7C,JH,8C,c,r,r,win
TC,JD,6H,8D,QS,7C,c,r,r,loss
AC,8S,6D,AS,7S,TC,c,c,c,win
7S,JC,9D,JS,9H,6C,c,r,r,win
8D,KH,7C,TD,TH,6H,c,r,r,win
KH,AH,AC,JH,QC,9D,c,c,c,win
9C,JH,AH,9H,JC,8D,c,c,c,win
TD,9H,6S,QS,7D,8C,r,r,r,win
9D,AS,8D,AC,7C,AH,r,c,r,win
8S,KD,TD,AC,6H,JD,c,r,r,loss
8D,AS,KC,7H,TD,TH,c,c,r,win
8D,8H,TD,KS,TC,9D,c,r,r,loss
KC,7H,9C,9D,TD,JS,c,r,r,loss
AH,9C,JH,KS,QD,8C,c,r,r,loss
TD,TH,9H,9S,6D,KS,c,r,r,win
8D,AS,QC,QD,QS,9S,r,r,r,loss
AH,QS,TC,7C,JS,6H,c,r,r,loss
JH,6H,7H,KD,JC,8D,c,r,r,loss
6C,7H,JD,TH,AH,KD,c,c,c,win
7C,KH,9C,AC,9D,7H,c,r,r,win
AC,KC,KH,6D,7S,8D,c,r,r,loss
JH,JC,JS,7S,AD,9D,c,c,c,win
KC,TC,8C,QD,9C,9D,c,r,r,loss
JD,TS,KH,7S,6C,7D,c,r,r,loss
TH,TS,JD,8S,JH,7C,c,r,r,win
8C,QH,9S,8S,TH,KC,r,c,r,loss
KD,JD,9C,TS,JC,8D,c,c,r,win
9S,7C,AD,6D,KD,9H,c,c,c,win
7D,8H,QS,KS,AH,AD,c,r,r,loss
7H,6H,KD,9C,QC,AH,r,r,r,loss
TH,8D,7C,KD,KS,6C,r,r,r,loss
KD,TC,TD,6D,7D,8C,r,c,c,win
QD,TD,JD,8S,8C,TH,r,r,r,win
7S,7H,6H,JS,9C,KS,c,r,r,loss
TH,7D,TD,9D,QD,QH,r,r,r,loss
AD,KC,AS,TC,9D,8C,r,r,r,win
TC,KS,TD,QD,TH,9H,r,r,r,win
9C,7S,KH,TH,8C,KC,c,r,r,win
7C,KH,AD,AC,JS,9S,c,r,r,loss
8S,JC,TH,9H,6D,9D,c,r,r,loss
QD,QH,JD,8S,JS,8D,c,r,r,win
6C,6D,KH,7S,TC,AC,c,r,r,loss
JD,7D,TC,KH,8S,QC,c,r,r,win
AH,8H,JD,KH,8C,AC,c,r,r,win
QH,TC,JH,QD,7H,6S,c,c,c,win
KC,JH,AD,JC,TH,KD,c,c,r,loss
QS,6S,7H,TS,AS,6C,r,r,r,loss
TH,JD,AD,JH,6H,9S,c,r,r,loss
TD,AD,8S,TH,7D,9H,c,r,r,loss
8S,8D,TC,JS,6H,AC,c,c,c,loss
8S,AH,JS,QC,JC,TH,c,r,r,loss
QH,6S,QC,JS,AC,KD,c,c,r,win
6S,JD,JC,7C,7S,8S,c,r,r,loss
QS,7D,JH,9D,JS,JC,c,r,r,win
7D,AS,8H,JD,TS,TD,c,c,r,win
AD,9C,9D,AH,TS,TC,c,c,r,win
9D,8H,QD,8D,6S,9S,c,r,r,win
7H,JH,9H,KD,TC,QD,c,r,r,win
QD,9C,9H,QS,8D,TH,c,r,r,loss
8H,KC,TD,TS,JD,6S,c,r,r,loss
8D,9S,TH,KC,KS,AD,c,r,r,loss
6H,JC,AC,AH,KD,6C,c,r,r,loss
TH,8D,8S,6S,KD,QH,c,c,r,loss
9D,QC,KD,8C,6C,6D,c,r,r,loss
9D,QD,QC,JD,7H,7D,c,c,r,loss
AD,8H,KC,6S,JD,9C,c,c,r,loss
KC,8C,8S,6C,KD,JD,c,c,r,win
QS,KC,JH,TS,7H,TH,c,r,r,win
8H,JH,7S,7D,KH,9S,c,r,r,loss
QS,9S,9C,QH,AD,9H,r,c,r,win
JC,TH,8C,8D,TS,9H,c,r,r,win
7C,9H,9D,QH,9C,AD,c,r,r,win
6H,6S,QD,9C,AH,AS,c,c,r,loss
JD,8C,6D,AH,6C,7C,c,r,r,loss
7H,9H,7C,JC,KS,AS,c,r,r,loss
QD,7C,AS,TD,8C,8S,c,r,r,win
6H,6D,JS,AS,9S,QS,r,r,r,loss
7D,JH,AC,8C,TC,TD,c,r,r,win
9H,JD,KD,JH,9D,QC,c,r,r,loss
9C,7S,KD,8D,9H,QH,c,c,r,loss
8H,6H,8D,7H,AS,KS,c,r,r,loss
8H,9S,JD,6C,AD,TC,c,r,r,loss
KH,7D,6C,TC,QS,9C,c,r,r,loss
TH,TC,6C,JC,KS,QS,r,r,r,win
8H,JD,7D,6C,JC,KC,r,c,r,win
AD,KH,TH,9C,7D,TD,c,r,r,win
AS,KH,TH,7C,QH,7S,c,r,r,loss
KC,QS,TS,6D,AC,7D,r,r,r,loss
TC,JD,TS,9D,8H,TH,c,c,r,win
6H,KH,6S,TH,JS,AH,c,c,c,win
QC,KD,6C,8H,JH,QD,r,r,r,win
QC,TH,8H,TC,8S,KC,c,r,r,win
KD,8H,8S,KS,JC,AS,c,c,r,win
AD,QD,7S,AS,KC,9S,c,c,r,loss
TC,JD,AS,8H,JH,KC,c,r,r,win
6H,QD,QC,JS,JC,6D,c,r,r,win
6H,KC,KS,6D,AH,8H,c,c,r,win
TS,9H,7S,KD,7D,8S,r,r,r,win
KC,TS,7D,AC,TH,AS,r,r,r,win
8H,QC,7S,TH,9D,7D,r,c,r,loss
8S,8H,9D,JD,KC,9S,c,c,r,loss
7C,TS,8C,7H,AD,AS,c,c,r,win
AH,TS,6C,AS,AC,KH,r,r,r,win
KS,KC,AD,JS,6S,8D,r,r,r,win
QS,8D,TC,AD,7S,JD,r,r,r,win
8C,6C,8H,QD,9D,6D,r,r,r,win
AH,JH,6D,8C,TC,KH,c,r,r,win
8D,6H,7S,TD,8C,JH,c,r,r,loss
QD,AS,TC,AC,JC,9C,c,r,r,loss
TH,KS,7H,TD,9S,6C,c,r,r,win
9H,9D,KH,9S,7D,KD,c,c,r,win
KD,8C,8H,JS,9H,AD,r,r,r,win
AD,8D,QD,TD,9S,KS,c,r,r,win
KS,7S,9D,7H,8S,8D,c,r,r,loss
6C,TS,9S,AC,6S,KD,c,c,c,win
AC,AD,JC,QH,KS,7D,c,c,c,win
AD,9D,7H,TH,TD,AH,r,r,r,loss
KH,KC,KD,QC,AS,8D,c,c,c,win
QC,QS,7C,KD,TC,6C,c,r,r,win
6D,6H,8H,AS,TD,9H,c,r,r,loss
8C,KS,TH,6H,6S,9S,c,r,r,loss
7H,8S,9H,AD,KH,TD,c,c,r,win
9D,TC,8S,6C,AS,8C,c,c,r,loss
AS,TH,QH,JH,TD,QS,r,r,r,loss
TD,6D,8S,JH,KH,8C,c,c,r,loss
QC,7H,TH,JD,6D,8H,c,c,c,loss
AC,JH,JD,KS,AS,7H,c,c,c,win
9D,9H,JD,QD,JH,6D,c,r,r,loss
6D,7D,AH,TH,9D,KH,r,r,r,loss
KH,JS,QH,TD,AC,KS,c,c,c,win
9H,9C,6C,TS,7D,8S,c,r,r,win
7C,KH,AS,KS,7S,QS,c,r,r,loss
QS,6C,9C,TC,JS,7H,c,c,r,win
7C,AC,8C,6S,JC,JH,c,r,r,win
8D,JH,KC,JS,9C,6C,c,c,r,win
AD,TD,6C,6D,QH,9H,c,r,r,loss
9D,7C,KC,JS,KH,7S,c,r,r,win
6S,7C,AH,JD,6D,6H,r,r,r,loss
7H,9H,7C,9C,TS,KH,c,c,c,win
AH,8C,JH,9S,JC,7S,c,r,r,loss
8D,7S,JH,9H,QD,AS,c,r,r,loss
7D,AC,QS,6H,TH,KH,c,r,r,win
QC,6C,KH,7S,9D,9H,c,c,r,loss
AC,7S,JS,TS,9C,8C,c,r,r,loss
AS,JS,AC,6D,KS,TD,c,r,r,loss
JS,KH,8D,JD,7D,9H,c,r,r,loss
7C,8H,9C,QH,AD,JD,r,r,r,loss
AC,KS,QC,AD,7S,8S,c,c,c,win
8D,QC,7H,6D,KD,JD,c,r,r,loss
AH,6D,QD,TD,AC,6C,c,r,r,win
KS,9S,QS,TS,7S,7H,c,c,r,win
KC,JD,TS,6D,9S,9C,c,c,r,win
QS,8D,9H,JC,KH,TC,c,r,r,loss
7C,TS,9H,6C,AH,JD,r,r,r,win
KH,8D,AS,KD,JH,QD,c,c,r,win
QC,TH,9H,KH,QH,6H,c,r,r,win
7D,9H,KD,AC,TS,KC,r,r,r,loss
QC,6D,6S,9S,6C,JS,c,r,r,win
JD,KC,9S,8D,7D,8C,c,r,r,win
8S,6S,AH,KS,JS,8D,c,r,r,win
KH,QD,6H,JD,QC,AC,r,r,r,loss
TD,JD,8H,6H,JH,JC,c,r,r,win
8H,TC,TS,QC,7D,6C,c,c,r,loss
6S,8C,8D,TD,TH,KC,c,r,r,win
8C,KC,7S,6S,AC,QH,c,c,r,loss
TD,QC,JD,QH,6H,KD,c,c,r,win
7D,6C,QS,JC,6D,7H,c,r,r,win
9S,AD,JC,7C,6C,JH,c,r,r,win
6S,7D,QS,8D,8H,KC,c,r,r,win
JC,AC,8S,6H,6C,6D,c,r,r,loss
TH,7D,KH,QH,TD,JH,c,r,r,win
TS,7S,8C,7C,AH,QS,c,r,r,loss
KH,7S,7D,9S,JH,9H,r,r,r,loss
JS,QS,8H,JH,9S,6H,c,r,r,loss
KC,8D,QD,9C,6C,AS,c,r,r,loss
QC,8C,8H,6D,6C,QD,c,r,r,win
8H,8C,TH,6S,6H,KH,c,r,r,loss
6D,TH,TS,AH,6S,9H,c,c,c,loss
TC,KS,8S,6S,AH,TD,c,c,r,loss
7S,JH,TC,9H,TS,JC,c,r,r,win
9C,8C,7H,AS,9S,6C,r,c,c,win
AS,8C,QD,9S,8H,6C,c,r,r,loss
8C,TH,8H,JD,7D,7C,c,r,r,loss
6H,7S,7D,AC,KC,KD,c,c,r,loss
AH,KC,9C,JD,6H,JH,c,r,r,win
QC,6C,7D,6H,KH,QS,c,c,c,win
KS,QH,QS,KD,8D,AH,c,c,c,win
6H,JC,QS,8H,TS,7S,r,r,r,loss
9S,8D,QD,KD,8S,6C,c,r,r,loss
AD,9C,AH,TC,6C,6H,c,c,r,win
QH,KS,7H,8D,QS,KD,c,c,c,win
9C,9D,6C,AD,6D,JS,c,r,r,win
TH,9D,6S,7D,KD,TS,c,r,r,win
8C,6D,KC,KS,QS,AD,c,r,r,loss
7C,QC,9C,JS,QH,TC,c,c,c,win
8H,6D,8S,6C,JC,8C,r,c,r,win
8D,QS,TH,JD,8C,8S,c,r,r,loss
QC,KH,7S,TS,QD,7C,r,c,r,win
TC,KS,KC,QH,7D,9C,c,c,r,win
7H,KH,JD,QD,9S,8S,c,r,r,loss
7S,6C,8S,TS,AH,8D,c,r,r,loss
TC,8D,JS,TD,TH,JC,c,r,r,win
6D,JH,QD,9D,9C,8S,r,r,r,loss
JS,6S,QS,TC,AD,AH,c,c,r,win
QS,8H,TC,JH,TS,QD,c,r,r,loss
7H,6S,TC,7C,KC,JC,c,r,r,loss
8S,JS,QC,JH,AC,7H,r,r,r,loss
AD,9C,AH,9H,AC,8C,c,r,r,win
QD,AC,TD,QC,6S,9H,c,c,r,win
AS,7C,7H,TD,TH,KS,c,r,r,win
7H,6C,AD,9H,AH,7D,c,r,r,win
AH,QH,AD,QS,AC,9S,c,r,r,win
8C,9H,8S,QD,KD,JS,c,c,c,win
KD,6H,8C,7S,AH,QC,c,r,r,loss
JH,TD,QD,KC,QS,8C,c,r,r,loss
TD,KH,6H,KD,8H,AH,c,r,r,win
