card1,card2,card3,card4,card5,result
JD,KC,9S,KD,AD,win
7D,QC,9S,AH,AS,loss
QD,KS,9C,AC,9D,win
JD,8H,6S,9S,QD,loss
JH,7C,8H,TD,9S,win
8D,9H,8C,TS,AD,loss
KS,8H,QC,9S,AD,loss
7S,JC,KH,KD,JD,loss
AS,KD,6C,9C,8C,loss
7D,8H,KD,TC,8S,win
QS,KS,7H,9C,QH,loss
8S,9D,TH,KS,AS,loss
TS,8D,QD,6D,JC,win
AS,8D,6S,9S,AD,win
TH,JH,JS,KS,TC,loss
7C,8D,6S,7H,7D,win
8D,QC,9C,QD,TH,win
TS,TH,7H,AD,8D,win
JS,TC,AH,9D,7H,win
8H,8D,6S,AD,QC,loss
9D,KC,AC,6D,JD,win
AC,6H,6D,7H,JD,win
JC,TC,9S,TS,6S,loss
QS,TH,9D,KH,7C,loss
QH,8D,7C,9H,JH,loss
QH,8S,QC,6H,8C,win
KS,8C,TD,AH,QC,loss
AD,KD,TH,9D,8D,win
9S,JS,TH,KD,6C,win
6D,JS,JD,6S,AC,win
JS,QC,8D,JC,9S,loss
AH,JC,6D,KS,7H,win
9S,QS,TC,6D,JD,loss
8C,JS,8D,6H,TS,loss
6C,6S,QD,6H,7S,win
AH,6C,KH,9C,9D,win
JD,TC,QC,KS,KD,win
7D,QS,6S,QD,9D,loss
6S,QC,9D,JH,6D,win
JD,8D,QS,8C,7H,win
QC,JH,TS,TC,AH,win
7S,7H,6D,QC,KS,win
JD,6H,JC,TD,9S,loss
8S,7D,9H,7S,TC,win
9C,JS,JC,7S,KD,win
7D,7C,9D,KS,AS,loss
7H,6H,KH,8H,6D,win
TC,JC,QS,6S,7D,win
TC,JD,9C,7S,QH,win
8S,7S,AS,7H,9C,win
KD,QH,JD,6H,AH,win
KC,8D,7D,QH,9D,loss
JS,QC,6H,AC,6D,loss
AC,JH,9H,QD,AD,win
JC,6C,AC,6D,TD,win
6H,TD,TH,AS,9S,loss
9S,6D,TH,7C,JD,loss
6D,8D,JH,TH,JS,loss
9S,7D,KH,6S,9H,win
7D,6C,JD,TC,QS,loss
8C,QC,6D,6H,QH,win
KD,TD,7S,QD,KS,win
9C,QD,TD,7S,8H,loss
AC,8C,KH,6S,6H,win
QS,JH,JD,6D,AS,win
AH,9C,7C,KH,7H,win
TD,KH,7C,8H,AD,loss
AD,TC,KS,TH,7D,win
AD,8C,6D,QH,8S,loss
7D,7S,AH,8S,JH,loss
9C,AC,TD,9H,JS,loss
6H,JD,6S,7C,JH,loss
JD,9D,6H,9H,TD,loss
9S,7C,6D,JD,AS,loss
6S,AS,AD,7C,TS,loss
7S,QS,9H,AD,8C,loss
TS,8S,9H,KC,9C,loss
QC,QH,6S,TH,8C,win
7H,TD,KS,6C,AH,win
8D,TH,JC,6S,JH,loss
JD,9C,TD,AD,KH,loss
8H,JH,6C,8C,TH,loss
QS,AH,6D,KH,7D,loss
6H,KS,8C,9H,QC,win
7D,TH,6C,8C,7C,loss
7S,7D,QS,QC,9S,loss
8H,7D,AD,6S,TS,loss
7C,KS,AS,TS,AD,loss
7H,AS,7D,TS,TC,loss
6S,AS,TS,JH,AC,loss
JC,AD,KD,9D,AC,win
9C,KS,8H,6S,TS,win
TC,8D,AS,AD,KS,loss
8D,KH,9S,TH,6H,win
7S,6H,8H,JD,7C,win
6S,AC,JH,QD,6H,loss
JS,TD,AS,9H,QD,loss
JD,KH,TD,KD,6C,loss
JD,QH,TS,9S,QC,win
9D,QS,TD,JH,TS,loss
6S,QD,KH,8D,AD,loss
8H,KD,TH,AS,6S,loss
8H,JC,TH,6C,AD,loss
KS,9C,JC,QC,JH,win
JC,TH,TC,TS,QC,win
TS,6H,9C,TD,TH,win
QH,JH,9D,7H,KC,loss
9H,QS,KS,JS,8S,loss
AH,QD,8H,7D,7S,win
QD,7H,AC,6S,9S,loss
9H,AS,QD,AH,6S,win
KD,JS,TD,8D,6D,loss
KC,8S,8C,8H,7H,win
TH,KS,TD,6S,6D,win
KC,KD,JH,KS,KH,win
TS,6S,TC,AC,JD,loss
KC,6D,6H,AH,KH,loss
6D,JH,9H,7C,KS,loss
JC,8S,9D,TD,JD,win
JD,8H,TD,JC,KH,win
KC,AS,7S,TD,JC,loss
JH,KH,6H,JC,QS,win
TC,KC,7C,QH,9S,loss
AC,6H,TC,JH,8C,loss
9D,8H,AS,7S,KS,loss
TC,QH,8C,7S,7C,loss
9D,8C,7H,JH,KD,loss
8C,7D,7H,TH,8S,win
8S,9D,KS,8C,QH,win
JS,7D,JH,8C,KH,win
9H,7C,AC,QC,JH,loss
TD,8H,AH,7C,TH,loss
JH,TD,QC,7C,TS,win
TD,6H,7C,KC,JS,win
KD,AD,TC,QC,QD,loss
TD,QH,JC,AC,8D,loss
QH,TC,QD,JH,8H,win
9C,JD,6C,AD,KS,loss
TD,KC,JC,7S,AD,win
JH,JD,TD,JC,6D,win
6C,AH,6D,7H,QD,loss
TS,QC,JH,JD,7H,loss
TC,8C,AS,JS,TH,win
6D,9S,QD,8D,8H,win
QC,6C,8D,8H,7D,loss
8C,8S,7D,7C,9C,loss
KS,JH,AH,TD,KD,win
7C,7S,JH,QC,TS,loss
8S,9D,JH,TH,6C,win
6C,JC,TS,KS,AD,loss
6H,AD,KS,TD,JC,loss
9C,9D,JS,AD,JC,loss
6D,9S,JD,KH,9D,loss
TD,JD,7C,AS,JS,win
6C,8S,TS,9S,9D,loss
TS,9S,9C,AC,7H,win
JD,AS,TS,JC,7D,loss
QH,9C,TH,JD,QS,loss
AD,KS,6C,TC,KD,win
JD,AC,KC,6D,TS,loss
QS,QC,TH,TC,JS,win
KH,TH,7S,7D,KD,win
8D,KH,7C,6S,9S,loss
AS,TH,8D,6H,8S,win
7C,7S,QC,JD,TD,loss
7S,9D,9H,7H,KD,loss
JC,QS,AS,6S,TH,loss
6H,8S,QD,8H,QH,win
QC,KS,6D,QS,AD,win
AD,KD,JH,7H,9S,loss
AC,6D,TS,TD,TC,win
JS,JH,9S,6S,QC,win
AD,KD,JC,6C,6H,loss
8D,9D,QH,9S,QS,loss
QH,9C,AH,JD,9H,win
8H,JH,TD,TH,KD,loss
JS,7H,JD,QC,QS,loss
7C,7S,7H,QS,9C,win
7D,6H,KS,8H,6D,win
JH,9S,JD,9D,7C,win
QH,KC,TD,7C,TS,loss
KH,JC,KD,TD,QD,loss
KC,AD,TD,KH,6S,win
8H,6D,TC,8D,JH,win
TD,KD,9H,KH,TS,win
KH,7H,6D,JH,KD,loss
JS,QC,7H,9H,6S,loss
TS,TD,7S,QC,9S,win
JC,6S,TC,JD,7C,loss
KC,6D,7S,QD,QS,loss
TC,QS,9D,KD,6D,win
JD,AS,7H,7S,KC,loss
AH,8D,6S,8H,QH,win
QS,JD,7S,JC,8C,win
KS,9H,QC,7S,9D,win
9C,AS,AC,KS,6S,win
6S,JS,8H,JD,9S,win
AC,7H,QH,8H,9H,loss
8S,9C,AH,KC,JD,loss
JH,AC,KH,JD,8S,win
QS,QD,KD,7C,9D,loss
TS,7S,TH,7H,KS,loss
AS,7D,TC,6C,AC,win
8C,8H,QH,8D,QD,win
AC,6D,QD,QH,AS,win
9H,AS,6D,QS,AH,win
6C,AC,QH,7C,6D,loss
8C,KS,TC,6C,7D,loss
TD,6C,AD,TS,9D,loss
KD,9C,QH,9D,8H,win
TD,7S,JS,9H,9C,loss
6D,9S,8H,JC,QD,win
QD,TS,KD,TC,6D,win
JS,TD,KS,6S,9H,loss
8D,TC,KC,JS,JC,win
6C,AH,6D,KC,8H,loss
KS,KH,7S,9D,TH,win
KD,7D,KS,QS,6H,win
6D,QH,TC,8D,TD,win
9H,9S,AC,6H,AS,win
9D,8C,6H,6S,JD,loss
6H,JD,TC,JH,QH,win
QS,7S,KC,JD,7C,win
7D,8H,AC,AS,TC,loss
7D,KD,6H,9S,8C,loss
TH,QS,6D,8H,AC,win
7H,JC,7C,8C,6D,win
KH,TC,TD,AS,AC,win
TD,9D,JH,6S,8S,win
8C,QH,7C,9D,JH,win
7H,7C,8H,9C,QD,win
8H,7C,JC,JD,JH,loss
KD,6S,6C,9C,8H,loss
AS,QS,6S,TD,8C,win
9S,JD,JC,QD,8D,loss
TH,JS,7S,9H,9D,win
9S,8C,9D,JC,JD,loss
TH,KC,7S,9C,KD,win
KH,TS,6D,TH,8C,win
7C,JC,QC,9H,8S,loss
6D,JS,QH,JH,TH,loss
KD,TH,KH,JH,8S,loss
8H,AH,9C,JD,JC,loss
8H,JS,7C,QC,9C,win
JD,TH,8D,7H,8S,win
KH,7S,TD,TS,7D,loss
9D,9C,KC,9H,8S,win
7C,9C,AH,TD,8D,win
JC,6H,TH,8C,9D,loss
7C,KD,AS,TC,JC,loss
8C,7H,6C,TS,AH,loss
6C,AS,JC,JD,9D,loss
AH,TD,TS,JC,6C,loss
7S,9D,JS,9S,QH,loss
JH,JD,TC,8D,7C,win
QC,KH,8H,JD,JC,loss
9H,QS,QH,KS,8D,loss
JH,9D,7H,TD,6D,win
7H,8S,8C,8D,7D,win
6H,TS,8C,AS,QH,loss
9H,9S,8H,KC,7C,loss
8C,AD,6C,AC,6D,loss
9C,7D,7S,AS,9D,win
JC,KC,TS,6C,8S,loss
8S,TD,AD,9S,QH,win
QS,8D,KD,6D,9H,loss
TH,8H,AD,8D,8S,win
7S,6H,7D,KH,QC,loss
QD,7S,8C,7C,KH,win
TS,QC,QH,7C,KH,win
TD,6H,9D,TH,6S,win
7C,AC,JD,AD,6H,loss
JD,TH,JC,7H,AH,loss
7C,AC,JC,8D,TC,win
AS,KS,6H,AH,9S,win
8S,6C,KS,QC,JD,loss
AC,KC,8H,TS,TD,loss
KS,TH,7C,6H,9S,win
8H,QH,KH,6H,7C,win
QC,AD,KH,7H,AC,loss
AS,6D,AH,TS,QS,win
8S,TH,KD,7S,9S,loss
JH,9H,JD,6D,6H,win
KH,KS,QH,AC,8S,loss
6H,8H,7C,6S,8S,win
7S,8C,9S,AC,JC,win
JS,QC,QH,JH,QS,win
9D,QC,JH,AD,AC,win
AS,QH,JC,8H,KS,win
7C,JD,7H,TH,7S,win
9C,9D,JC,6H,9S,win
TH,8D,QC,AS,9S,win
TC,JD,QH,AC,QD,win
7C,9S,8H,6C,TD,win
JC,AD,TH,8D,KH,loss
AC,AH,8S,7H,QS,loss
TH,KH,QC,AD,9C,loss
7H,JH,AD,KS,7S,loss
KH,TC,8H,AH,KS,win
JC,8S,QH,JS,KS,loss
KH,7H,KC,TC,6D,win
JC,JH,QC,AS,9D,loss
JS,8C,7S,JD,TS,loss
JD,9S,KS,7S,TD,win
QD,6D,TH,JC,8D,win
AC,JC,KC,6C,JD,loss
6D,AH,TD,9C,7H,loss
7S,JS,7D,9D,AS,loss
JC,7C,JS,9D,QC,win
QD,6D,KH,JS,8D,loss
6D,6S,KH,JH,KD,loss
7C,8S,7D,KD,9S,loss
6C,AC,8S,KS,TD,loss
7H,TH,QS,8S,AS,loss
JD,JH,8H,TD,QH,win
8H,KC,6C,JS,9D,loss
7H,JH,TD,9S,AD,loss
6C,JS,6S,7C,QD,win
6S,QC,AD,6D,6H,win
9S,9H,KS,AD,7C,loss
JC,6H,8H,JD,9D,win
6C,AH,7D,KC,6H,loss
6C,8D,TH,AC,JS,loss
7S,8C,TS,7D,6C,loss
9S,7S,QC,8S,KD,loss
JC,AC,TS,KD,7C,win
JD,KC,QS,KD,9D,loss
TH,7S,JH,7H,6C,loss
9H,7H,6C,TS,6H,win
9C,7H,8C,9H,KH,loss
6H,7H,8D,6S,TC,win
JD,AS,6C,TD,9H,loss
8C,7H,JD,8S,9D,win
9S,KH,8H,6S,7S,win
JD,AC,KD,QS,QH,loss
6H,JH,AS,TS,9H,loss
QC,9S,8S,8H,KS,loss
QD,6D,QS,8C,QH,win
9D,6S,JD,6D,8C,loss
TS,AD,AC,QH,7S,loss
8H,9S,QC,AH,9C,win
KH,JD,6H,8C,9D,loss
9S,7H,8D,7D,TD,loss
AD,9S,7S,KD,JS,loss
QC,7H,6C,JH,KH,loss
8H,8C,KH,9H,TH,win
7D,TS,9H,AS,8D,win
JS,AD,9H,KS,6D,win
8C,AH,AD,JC,KC,win
JS,7S,KD,QH,7D,win
QS,TC,7H,KS,JD,loss
6H,TH,8H,9C,QC,win
7S,JS,8S,KD,AC,loss
6C,KD,7H,KH,TS,win
9C,7S,7C,6D,JC,loss
8C,QD,TD,9C,JD,win
AD,TC,QD,6S,JH,win
AD,7C,6S,TH,6H,loss
QH,7C,AD,KD,QD,win
9H,QC,JC,TH,9S,win
6H,9D,JD,KD,TC,loss
TS,QD,TH,9H,TC,win
7H,7C,TC,TS,9H,loss
7H,KH,KC,9S,KD,win
7C,QC,JD,JS,7S,loss
9S,QC,8C,7C,KD,loss
9C,QD,6H,9D,6S,win
AD,KC,AS,JD,AC,win
8C,6C,8H,TC,TH,loss
QS,JC,KH,AD,9H,win
TC,7D,JH,JD,AC,win
TD,7H,AD,9H,6S,loss
TD,AD,QD,6S,7S,loss
8H,KC,9D,QD,TS,win
KD,TH,9C,6H,7C,loss
9D,JS,TC,JD,7C,win
JD,6D,9C,KS,8S,win
6D,9D,TD,TC,AD,win
AS,JD,KH,QS,KC,win
8D,AD,6D,6C,TH,loss
QC,7C,JS,9H,TS,win
9D,8C,QH,9H,6C,win
AD,6D,8D,9S,9H,loss
AD,AS,TS,KC,7H,loss
AD,9C,AH,TS,AC,win
QD,AH,9D,KH,AS,win
JH,9H,7S,TC,9D,loss
AD,TH,6H,TC,AC,win
AD,7D,KD,9D,6S,loss
9S,KC,TS,8H,QH,loss
KC,8H,TC,6H,AS,loss
9H,8D,8S,AD,KC,loss
AD,8D,AS,7S,QS,loss
6S,AH,KD,6D,7C,loss
7H,6D,QC,AC,7S,loss
8D,6D,7H,9S,JD,win
6S,7C,JC,KS,AD,win
TS,8H,QC,KH,7H,loss
8H,9C,6S,TC,TH,loss
7D,6S,QD,TH,9S,win
KS,JC,QH,AC,7D,win
8H,7S,9H,JH,KS,loss
TH,JC,QD,8H,7H,loss
8C,JH,QC,8H,JS,win
6H,AS,TD,KH,QD,loss
6S,9S,TC,QD,6C,loss
TS,QD,JS,8C,7H,win
AD,JH,9C,KS,AC,win
7H,JH,QH,TD,6S,loss
8S,8C,QC,7C,JH,loss
AD,TC,QC,JC,6D,loss
AS,TH,KD,8H,9H,loss
7D,QD,7C,KS,TC,loss
8D,7D,QS,7C,KS,loss
QD,9S,8D,9C,TH,win
9C,9H,TH,8H,JS,win
JH,KC,8S,6H,QS,win
JH,9S,QC,TH,KS,win
QH,TC,8S,8C,JH,win
KS,6C,QC,JD,9D,loss
QH,8S,7C,QD,6S,win
JC,TS,8S,AD,QC,loss
KD,JH,AS,6S,9D,win
6H,9S,AS,7D,6C,win
9C,9S,JS,TH,9D,win
8D,JS,9H,JD,7H,loss
7S,QD,JD,9C,QC,loss
TC,JC,6C,TH,9H,win
7C,QC,QS,8S,AH,loss
KD,8D,JS,TH,6D,win
7D,AH,7S,AD,AS,win
8H,6D,7H,QD,QH,loss
JC,8C,8H,9D,TD,win
6H,6C,8S,JD,7S,win
QH,TS,AD,7D,KS,loss
9C,AS,8S,9D,6C,loss
TS,AC,KH,AH,JD,loss
TC,TH,KC,8H,7H,win
JH,JD,6H,KS,AH,loss
8H,TD,QC,QD,TS,win
KC,JC,6D,AC,7S,loss
TH,JD,AS,7C,KD,loss
AH,TH,KC,JC,9C,win
9D,JH,AD,8S,6D,win
9D,7H,7S,9H,TS,win
9H,TS,KD,AH,JC,win
QC,QH,JD,KS,KH,win
9H,AD,JS,QC,8C,loss
JC,9C,JD,7S,QS,loss
QC,AD,AS,9C,6H,win
TC,TS,KS,TH,7D,win
6C,TH,QH,9D,KS,loss
8S,TS,AS,JD,7S,win
7S,JH,TD,9S,9D,win
QS,AD,7D,QH,AS,loss
KD,7D,QS,JC,AS,loss
AS,6H,TS,TC,8H,loss
9C,6S,7S,TC,7H,loss
JC,KS,7H,JD,9S,win
7H,8S,JD,KD,6S,loss
AH,TS,QD,6C,7S,win
8H,QH,KC,AH,9C,win
QH,JD,KS,8D,7S,loss
KD,7C,KH,AH,TH,loss
AH,JS,6H,7C,7S,loss
AS,9C,7S,AH,6S,win
JC,JD,6D,7H,JS,win
9H,QC,7H,KC,8S,loss
9H,9S,TH,AC,7H,win
KH,TS,6H,7S,9H,loss
AC,9C,AD,QD,QC,win
7H,AS,6H,AC,KH,win
6S,AH,7D,AD,9D,loss
6H,8S,KS,AS,AC,loss
6C,KD,6D,QD,AS,win
TD,8H,6D,6S,7C,win
AH,KD,JH,8D,TH,loss
TC,6C,7S,8D,QS,win
JD,JH,7H,TS,TC,win
JH,QD,8C,7S,JD,win
QS,KH,JD,QC,7H,loss
9C,QS,AD,TS,9D,loss
JC,KC,7S,QH,JD,win
KS,8C,7D,9D,QC,loss
6S,AS,TC,KS,8S,win
QS,9C,TD,QH,AS,win
QD,QH,8C,6S,AC,win
8S,QH,7C,AD,TH,win
8C,KH,KC,6S,9H,loss
7H,TC,7D,KD,KC,win
AD,KS,9C,TS,6D,win
6D,7H,9S,7C,KD,win
6C,9S,9D,QH,AD,loss
JS,6S,8S,TC,9D,loss
TC,AD,TD,KD,9C,loss
QS,AD,QH,9C,KS,win
6S,6D,QH,QD,7C,loss
QS,8S,6D,7D,AS,win
JC,QH,7H,7S,QS,win
TS,AC,7D,TH,JD,win
TH,QS,9S,6S,AC,loss
8C,TH,8D,KD,KS,win
6H,7H,6S,QH,8H,win
6C,JS,TD,QC,AC,loss
KS,JH,TH,QH,7H,win
QS,8H,7C,QH,8S,win
JC,AC,9H,6D,QD,loss
TH,AH,7D,KD,JC,loss
JS,8D,KH,JC,9D,loss
6S,TS,6D,TD,QS,win
JS,7D,KH,KC,KS,win
6D,8C,6S,QS,AH,win
6C,7H,8C,AC,8H,loss
8D,8H,QS,AS,JH,win
6H,8D,QD,TD,7H,win
7H,QD,9H,8H,8D,loss
KD,KC,KH,AS,TH,win
TD,6H,8D,9C,AD,loss
8D,JH,JS,6D,8H,loss
KS,9S,AD,TH,7H,win
6S,TC,QS,6H,6D,win
TD,7S,QD,7C,KC,win
KS,9H,7C,8D,QS,loss
JC,JS,TC,9C,8S,win
6D,7D,AC,9D,TD,win
TS,9S,7D,9D,QS,win
JS,AD,TC,AH,JD,win
QH,7D,TD,AH,JS,loss
TS,AH,QD,6C,AS,loss
6C,QS,7D,8C,JC,loss
JH,9C,JC,QD,9S,win
9H,QH,TH,KS,7S,loss
6S,JC,JS,QC,JD,loss
9C,8C,KH,QD,JH,loss
JC,JS,9S,7D,AS,win
AC,7H,7D,6H,8H,win
7C,9S,8C,TD,7D,win
7S,TH,TC,KC,6S,win
KH,7H,9H,7D,7S,win
8D,AS,TD,8S,JC,win
7S,7H,QS,QD,7C,win
JC,6S,8H,9C,9H,loss
TD,7S,KH,JH,TC,win
6D,KS,9D,8C,7H,loss
KS,KH,6D,AD,AH,win
9C,9H,JC,TC,KS,loss
KD,8D,QD,AC,TC,loss
KH,KC,AH,TC,6C,win
QC,9H,JD,KD,6D,loss
AS,9D,7D,KS,TC,loss
6S,KH,9H,KS,7D,loss
AC,TD,JD,8S,TC,loss
JS,7S,TC,8S,8D,win
8C,7H,KS,AH,8S,loss
JH,8H,KH,9S,AH,loss
JC,9H,QH,6C,QS,loss
TD,6S,AC,AD,QH,win
KH,8C,9C,QD,AD,loss
QH,KH,QC,QS,7H,win
6C,AS,AD,KH,KD,win
QH,QC,TC,7D,8H,win
JH,TD,8C,6C,7S,loss
8D,QC,9D,8S,9C,win
AC,AD,JC,QS,KD,win
TD,6H,JC,7C,8D,loss
AD,AS,QS,JC,7S,win
9S,QS,JC,6C,JS,loss
9S,KS,QH,7D,8S,loss
JS,7H,AS,6C,8H,loss
8H,KD,KH,AD,TC,win
JC,KH,QD,QS,7S,win
KS,7D,8D,6H,6S,loss
QS,8C,JD,6H,KC,win
AS,AC,QS,7S,8D,win
6H,QC,8H,KS,TD,loss
6H,7S,AC,6C,KH,loss
9D,TC,AC,KC,JC,loss
QC,8C,KS,AD,6C,win
AS,KS,6S,AD,TC,win
6D,6C,9S,KH,TD,loss
TH,8D,7C,6C,7S,loss
KD,7C,JC,8D,TC,loss
TS,8S,AS,TC,JS,win
QS,8H,7D,AS,9H,loss
7C,KC,JD,TH,KD,win
6C,8D,TS,8H,JS,win
KC,9C,6D,QS,TD,loss
AH,6C,AC,TH,8S,loss
9D,KS,TS,8H,AD,loss
TC,QD,KH,TH,TS,win
8C,AH,KD,KH,AD,win
TH,8S,QH,7C,TD,loss
9S,TD,QD,QS,JH,win
AH,KH,7C,7S,TD,win
7S,9S,8C,JD,QC,loss
TH,JS,KS,KD,TD,win
KH,9H,QD,TD,7C,loss
7D,KH,JS,KS,6D,win
7H,8H,QH,8D,JD,loss
KS,KH,6C,AH,QS,loss
AS,QD,QH,JC,JD,win
KH,KD,JH,7S,AD,win
9C,KH,QD,TS,JC,win
8D,JC,KC,9D,7D,win
JS,6H,TS,9C,TC,loss
6D,6H,7D,9H,KH,win
KH,AD,TC,9H,TD,loss
9H,6H,6D,6S,JH,win
KC,8H,TS,JS,QS,loss
8H,KC,8D,TS,KS,win
8H,KC,KH,QC,KD,loss
TS,JD,9D,AH,7C,win
9H,JC,KS,AD,9D,loss
6D,6H,8S,JC,QS,loss
9S,9H,9C,JC,8S,win
JC,6S,8C,TH,8D,win
7D,6H,JC,6C,8S,loss
QS,8S,7D,7C,QH,win
6H,KH,8C,JC,TS,loss
QD,9H,JS,JC,AD,win
8S,TS,8H,QD,AS,loss
QS,8S,TS,9C,9H,win
AH,6D,7H,JC,QD,loss
7S,8H,AS,TS,6C,loss
AC,KD,9S,JH,6D,loss
9H,6H,KC,AD,JH,loss
JS,JD,AH,6S,7S,loss
KC,7H,KS,AC,JC,win
QH,TD,AD,KH,QD,win
7H,QD,KS,AD,JD,win
TD,KD,AS,JH,TC,win
JC,9D,6H,KC,KS,loss
QC,TS,JH,AC,TD,loss
6S,7C,QS,TD,KC,win
KD,AS,6H,JC,9H,loss
7H,AC,6S,AS,8C,win
QS,AD,9C,JS,6S,win
AC,8H,8C,6S,JC,win
AS,9S,9C,6C,8S,loss
QC,9C,TS,QD,KC,win
9C,8S,JH,9S,KS,win
9S,9C,8C,JS,7D,win
7D,KC,6D,KH,KS,win
TS,JC,8C,TC,JD,win
TS,8D,TC,KC,TD,win
9S,QH,KD,KH,AD,loss
KD,6H,8D,TH,AH,loss
TD,6S,KC,KS,6C,win
8C,AD,6S,JC,7H,win
KD,6S,TD,QS,QH,loss
6C,TS,6S,8H,QH,loss
8C,6H,9C,8S,7D,win
8S,9C,9H,7H,TD,win
6S,QS,TS,6C,6H,win
JH,9H,KD,AD,6D,loss
6S,QD,KD,TS,KC,loss
8H,JC,8S,KH,JD,loss
KS,6C,KC,KH,TS,win
6S,AD,9S,7H,9H,win
QD,6D,KC,AS,KH,loss
9D,JH,AC,JC,QS,win
AC,7S,QD,9H,QC,loss
JS,KS,KD,7S,TD,win
7D,KC,8S,7C,AS,win
JH,7H,8H,9D,KD,loss
6H,JS,JD,8D,7H,win
JH,9C,KC,KH,JC,loss
9S,8S,KD,AD,KC,loss
6C,6D,9C,8S,8D,loss
8H,QD,6C,JH,9D,win
JD,8D,KC,TD,9C,loss
8S,JH,6H,8H,JS,win
6C,AC,QS,6H,JH,loss
6C,AD,7H,6H,KD,loss
KD,6C,7H,7C,8C,loss
AD,8H,JS,9D,6H,loss
KS,8D,JD,9S,AH,win
KH,9H,JD,8S,9D,loss
6H,7D,QH,8S,AS,loss
TH,AH,TD,JS,AD,win
6C,8H,9C,9H,9S,win
JH,6S,AD,6D,7D,loss
QS,9C,7C,QH,7S,loss
QD,9H,AS,KH,JH,loss
8S,TS,QC,8H,9D,loss
AD,9S,7C,QS,9H,loss
JS,AH,QC,9H,8H,loss
6H,KD,6S,7H,9D,loss
7H,KD,AD,9H,JH,win
QH,KH,6D,8S,QD,loss
TS,8H,AS,6D,JH,loss
8H,KD,AS,7H,JS,win
AH,JS,7C,7H,7S,loss
6D,QC,7D,KS,7H,loss
8S,9D,KH,AC,8C,win
QC,QS,TD,QH,TH,win
7C,9S,JS,9C,AD,loss
JS,6C,6S,JH,7D,win
6S,QS,8S,KH,7D,loss
QH,KS,KD,TD,QC,win
TD,TH,AH,6C,8H,win
QD,KD,AS,7D,QH,win
JD,TC,AC,8C,QC,win
9D,8D,9H,8H,9S,win
AH,6H,7S,JC,KH,win
AC,7H,JC,6H,9D,loss
7H,6H,7D,AS,TC,loss
JD,KS,TC,9H,8H,win
KC,TH,6D,8H,AH,win
AH,7D,JH,7C,7S,win
8S,TH,KD,QS,JD,loss
KH,7S,7C,AC,8S,win
KH,KC,JH,TC,8C,win
9H,8S,TC,7D,6D,loss
8C,KH,KD,7S,6H,win
QS,QC,AS,7H,6C,win
TC,7C,TH,KS,9D,win
7C,JD,9D,6C,JH,loss
QS,TH,AH,6H,JS,loss
JS,TC,9H,6C,7H,loss
AD,7S,6D,TH,AH,loss
8S,8C,6D,QC,9H,win
7S,6S,JS,TD,9H,loss
AD,QD,AH,AS,KD,win
KC,QH,9D,8D,QD,loss
9S,KH,JC,AS,TC,win
7S,6C,9D,TC,AC,loss
QC,AH,TC,JD,9S,win
9S,8C,8H,JH,8D,win
KS,TH,QD,9H,QH,loss
8H,KH,6D,JS,QD,loss
QS,6C,KS,JS,KD,win
TS,JD,QD,JH,7D,win
KH,JD,AD,8S,KD,win
KH,6C,JS,6H,AD,loss
8D,QD,6D,8S,7S,win
AH,6C,7H,9C,AS,loss
6D,TD,6C,AS,8S,loss
KD,QD,9C,7S,8H,loss
KS,AD,6D,9S,9H,win
TD,KH,QS,KS,9H,loss
8S,7C,TS,TD,KC,loss
8H,8C,TS,6C,8S,win
AS,6H,JH,9S,TH,loss
JD,JS,TC,AC,QC,loss
AS,KD,6H,QH,7S,loss
6D,QH,7D,TC,7C,loss
AD,9H,QH,AS,7S,loss
9C,8S,KD,8H,7D,win
AS,KC,TH,9D,6D,loss
TC,9H,7S,AD,TH,loss
6S,AS,JC,6H,TH,win
AH,8S,JD,7H,TD,loss
TS,KC,KS,9D,AH,win
JS,9S,9C,AC,8S,win
6C,KS,9D,JC,QH,loss
JC,8D,6H,TH,9D,loss
TS,7D,QD,JH,8H,loss
7H,9C,TC,KD,KH,loss
JS,QD,AH,9D,JH,loss
JC,TH,TS,9D,KC,win
6C,6S,QC,KS,JS,win
8C,8D,KH,9S,8H,win
AC,8H,JH,KC,JD,loss
7C,KC,6D,JC,QH,win
TS,TC,7C,6C,JC,win
8H,8C,QH,8S,9D,win
JH,JD,TS,7C,6C,loss
AC,QD,9S,TC,6H,loss
9D,AC,8H,6C,KH,loss
QD,6C,TS,KH,JS,win
6D,AD,JS,7C,KH,loss
TD,8C,AH,TH,6S,win
TC,JH,8C,KS,7H,loss
TD,6S,6C,JD,7H,loss
6C,6D,8S,7H,9H,loss
TD,9S,AS,7C,TC,win
QC,AC,7C,KD,8S,win
KS,7H,AS,7C,AC,loss
JS,AC,JC,8S,7S,win
6D,TD,9C,7S,6S,win
AH,JC,6S,9D,8C,loss
KC,TD,7D,9D,JD,win
6H,KH,TH,JC,TC,loss
JS,8C,7H,8S,KS,loss
8D,7C,KD,QC,KC,loss
6H,QS,8S,TD,6D,win
JH,AC,AD,8H,JD,win
9D,6D,QD,KS,AH,loss
QD,KD,6S,8C,AS,win
7C,6D,7H,6H,6C,win
TC,9C,JS,KC,QD,win
JD,6S,8H,9D,8C,loss
KC,KD,KS,TD,AC,win
TD,QC,6S,KH,TS,win
QC,AH,9D,6D,7C,loss
KS,QC,KH,JC,QS,win
9H,JH,QD,TD,7D,loss
