card1,card2,card3,card4,card5,result
6D,9C,QS,9S,KS,loss
KS,6S,QC,TD,7S,loss
8C,8S,6S,7D,9H,win
6S,7C,8S,QS,AS,win
QH,KH,6H,8S,7C,loss
6C,KD,7D,AS,TD,loss
KS,KH,8C,AC,JH,win
7C,9C,KD,7H,8H,loss
6S,6H,7S,TD,QC,loss
TS,7S,7D,8S,8C,loss
JD,KS,8D,7H,QD,loss
QH,TH,6C,KD,7D,win
AH,AD,6S,JH,8S,loss
QS,9C,KH,9S,TD,loss
7C,7D,AS,6H,QS,loss
9C,6H,TH,AC,AS,loss
6H,7H,TH,QC,JC,loss
AD,QS,6H,9H,QC,loss
JD,9H,8S,7D,KC,loss
7S,TD,TS,JC,6C,win
AC,QS,TS,KC,7H,win
TD,9H,AH,KD,7S,loss
9H,9C,KC,KS,TS,win
QS,QH,TC,KC,JH,win
7S,7D,TC,9D,KH,win
8C,KC,JD,KD,AS,loss
AD,KS,JC,TH,7C,loss
6H,9D,JC,8S,QC,loss
KC,9D,7S,JD,KS,win
6S,8C,QD,TD,KH,win
6D,8C,AC,7D,JD,loss
QD,AC,KD,QS,9D,loss
7C,QH,TC,7H,JS,win
TH,TC,KS,6C,QS,win
JD,7S,9C,9H,6C,loss
KH,JD,QH,8C,KD,win
8H,8S,AS,9C,JH,win
6H,AS,7H,7D,AC,win
6S,AH,KS,6C,TD,loss
JS,TC,AC,JD,AH,win
AH,TD,8C,7C,JS,loss
AD,KC,KH,8S,AC,win
9S,8D,6C,QC,9H,win
KH,6C,QH,KD,TS,win
QS,KD,8S,AH,6S,loss
7C,QH,JS,TH,9S,loss
AH,JD,TS,9D,JS,win
8S,7S,8C,7C,6H,loss
JS,7C,AH,KC,TS,loss
8S,JS,9C,AC,9S,loss
JH,8H,6D,9H,TC,win
8S,QC,9C,JC,AD,loss
8D,JH,AS,9C,6H,win
9D,JC,8C,KC,QD,win
AS,7D,8C,TH,JC,loss
9H,6H,AS,QS,AD,loss
KD,QD,9C,7S,6D,loss
TC,KC,7C,JS,AD,win
KC,AS,8D,QC,QH,loss
AS,6D,9H,6H,JD,loss
KH,6H,KS,QH,7H,win
7D,JD,KH,TS,9C,win
TS,8H,8D,AD,KD,win
QC,6D,6S,8H,AD,win
AC,JC,KH,QH,9D,loss
7D,8C,6H,KH,AD,win
AD,7D,6S,JC,TH,loss
TD,8D,KC,9H,9D,win
TH,8C,7C,9H,8D,win
8S,8D,JD,6C,QH,win
AH,7D,JH,9C,8H,loss
9S,JD,9C,JS,AH,loss
AD,6C,KS,KH,6S,loss
8C,AD,JD,KC,QH,loss
9C,QD,JD,AC,QH,loss
KH,6D,6S,6H,AS,win
JC,QC,9C,TD,QS,loss
AD,AC,QH,8D,9C,win
AD,JH,8S,QH,AC,loss
7D,8S,6D,7C,AD,win
QS,AC,KD,JH,7C,win
8S,8H,6D,TS,QC,loss
9H,8H,8D,TS,6D,loss
9C,9D,KD,7D,AS,loss
QH,TH,QD,7H,QC,win
QC,KS,QH,TD,7H,loss
6S,9D,7C,KD,QC,loss
AC,KH,9H,6C,QC,loss
AD,TC,9H,JH,AC,win
9D,KC,KD,6C,TD,loss
AH,KS,KH,7S,9D,win
7H,8C,QD,TS,JH,loss
TS,8H,7H,JH,QD,loss
JH,QC,8H,TC,QD,win
7S,TD,8C,QD,KH,loss
QD,7C,8H,9S,AC,loss
8S,QS,AD,KD,JH,loss
6H,7D,QH,AS,AD,loss
TD,AS,6D,TH,TC,win
KH,AD,QD,KS,TC,loss
8H,TH,6S,KD,9C,loss
9C,QD,7C,TS,TH,loss
9D,KS,TC,9S,TH,loss
QH,KC,9S,7D,JC,loss
6H,9S,9D,JC,8H,loss
QD,8H,AC,9C,JD,win
TH,TS,7S,9D,TD,win
6H,9H,KC,9D,JH,win
JH,JD,AH,KS,TS,win
8C,AC,8H,JD,QS,loss
9H,QC,6S,QH,KS,loss
8S,KS,7H,7C,KC,win
9D,JD,AH,8C,AC,loss
QH,7D,8D,8C,QD,win
JH,KH,6C,JD,TS,win
8D,6D,TS,QC,7D,loss
TS,AH,6H,JC,9S,loss
KC,TD,8S,KH,8C,win
AD,KH,9C,KS,QC,win
7C,7H,KH,8C,KD,loss
AC,7D,9C,AD,KC,win
9C,AH,7D,6S,6C,loss
KC,TS,JC,AC,AS,loss
JS,JH,TC,QH,AH,win
7C,QD,KS,7H,9C,win
JS,9H,JC,QH,KD,win
KD,TH,8H,KH,9C,win
TS,KS,8D,6S,7C,win
AC,9C,TS,TC,6C,win
KD,TC,QD,QH,8S,loss
9D,TH,JC,6H,7C,loss
JS,QC,6H,QH,KS,win
6S,TS,6H,KH,JC,win
JD,TS,AD,TD,9H,loss
8D,7S,JS,9S,6D,loss
7C,QD,AH,AC,9S,loss
AD,6C,TH,KH,JC,loss
KD,QS,JD,7C,JC,win
KS,9S,KC,6H,QH,loss
8S,TD,AH,7C,TC,loss
6D,QH,TC,9H,TD,win
8S,6D,JD,6C,7D,loss
AD,7D,TD,TS,TH,loss
KD,JS,AS,6S,KH,win
9H,8D,7S,JD,TD,win
TS,AC,JS,AH,AD,win
AC,JC,8S,7D,JH,loss
TS,KC,7D,AC,9D,loss
QC,QD,JS,6D,8D,win
JC,KD,7D,AS,QH,loss
