card1,card2,card3,card4,card5,bet1,bet2,result
TH,6C,KH,9S,AH,r,r,win
9D,7C,JC,QD,8S,r,r,loss
8S,6C,8H,9S,7D,c,r,win
8S,6C,AC,KH,9S,c,r,loss
JS,9H,KC,AC,6C,r,r,loss
QS,8H,JD,TH,6D,c,r,loss
8H,9C,9H,9S,QH,c,r,win
AH,AD,8H,QH,7D,c,c,loss
KC,8H,QS,6C,6D,c,r,loss
7S,6D,AH,6C,AS,c,r,win
7C,8H,TC,TS,JC,r,r,loss
9C,KS,9D,AC,7H,c,c,loss
JH,6H,KC,QS,KD,c,r,loss
KS,QS,AS,8H,KC,c,r,loss
TS,9H,6C,JH,JS,c,r,loss
6H,6S,6C,8C,KD,c,c,win
AD,QD,KH,6S,QS,c,c,loss
JC,8D,JS,6S,KD,c,c,win
9C,9D,AS,9H,JS,c,c,win
AC,KH,TH,QD,9D,c,r,win
8H,JC,KD,6D,8S,c,c,loss
QC,JC,QS,7S,9D,c,r,win
TC,QH,QS,9D,7D,c,c,win
9C,TD,TC,AC,TS,c,r,win
TD,KS,TH,8C,AS,c,r,loss
6D,8H,KS,7C,KH,r,r,win
TD,KD,JS,TH,8S,r,c,loss
AC,KS,KH,AD,8H,c,c,win
AH,AS,6C,9D,7C,c,r,win
9C,9H,6S,TH,AS,c,r,loss
7C,QC,QD,9C,KH,c,r,loss
KS,QS,TS,8H,AS,c,r,loss
9C,JH,9H,7S,QS,c,r,win
KS,6C,TS,JC,7S,r,r,loss
AH,KS,9C,7D,6C,c,c,loss
9H,8C,7H,8S,6S,c,c,win
JC,6S,KH,6C,6H,c,r,win
JS,9S,JC,KD,7C,c,c,win
QC,QS,6S,7D,TD,r,c,win
7D,JD,6C,AC,KD,c,r,loss
9H,7D,6D,QS,TS,r,r,loss
KD,JS,9S,8C,KH,r,c,loss
QD,TC,8S,QH,JC,c,c,win
JH,JS,6D,TD,KH,c,c,win
JD,QC,7H,TC,7D,c,r,loss
9H,KD,AD,8H,6C,r,r,loss
QS,8D,JH,TH,TD,c,r,loss
TC,KD,9C,6C,AC,c,c,win
TH,KH,KS,8C,JC,c,r,win
QS,AS,7D,9S,JH,c,c,loss
6H,8H,6C,AH,9C,c,c,loss
KD,JD,9C,TS,8C,r,c,loss
7D,AD,QH,KD,7C,c,c,loss
9H,8C,JH,TS,6D,c,c,win
QS,QD,6S,KD,TC,c,r,win
TS,AD,9D,6C,TH,r,r,loss
KD,7S,KC,KH,7D,c,r,win
QD,TH,7H,8C,AH,c,c,win
QC,7S,AH,6H,TC,c,r,loss
TD,9C,7D,8H,6D,r,c,win
QD,AS,QC,KH,8S,c,r,win
9C,QD,9H,AD,8S,c,c,win
9H,KS,9S,JH,7S,c,c,win
7D,7S,8S,QD,KH,r,c,loss
9D,6D,KC,QD,9C,c,r,win
KD,KS,QH,JS,8H,c,c,win
6D,KC,JS,TH,9S,r,r,loss
QC,8D,TH,AC,9S,c,c,win
QD,6H,JD,AH,9C,r,r,win
QH,9C,9S,TC,AS,c,c,loss
TC,9S,7D,KS,QC,c,c,win
QC,6D,TD,QS,9S,c,c,loss
8S,TC,8D,6D,AS,c,c,win
8C,9H,8S,QC,AS,c,c,loss
JD,TS,TD,AH,8C,r,r,win
QS,AC,7C,KD,6C,r,r,win
KS,KD,9S,JC,8C,c,c,win
9D,QC,8C,TH,QH,c,r,loss
QS,9C,8S,8C,8H,c,r,win
7S,JH,QC,JC,KC,c,r,loss
6H,KS,QH,AS,QD,c,r,loss
QH,QS,6C,8D,9C,c,r,win
8S,AH,9H,JS,6S,c,r,loss
7D,6H,KD,8S,TH,c,r,loss
KC,TH,AS,8H,JD,r,r,win
JH,TH,TC,7C,QS,r,c,win
QC,KC,TD,KS,6H,c,r,win
JH,QD,KC,JC,AD,c,r,loss
TH,9S,7C,7D,QC,r,r,loss
QC,AC,7S,8H,AH,c,r,loss
KH,QH,8D,AD,AS,c,r,loss
8H,TD,9D,TS,8S,r,c,loss
8H,KH,QC,QS,JH,c,r,loss
KC,JH,6C,8D,7D,c,r,loss
8D,JH,8H,QH,KS,r,r,win
8D,KC,JH,TH,KS,c,r,loss
AH,8D,KD,JD,9H,c,r,win
KH,JH,JC,QD,8C,c,c,win
JS,QH,KC,6C,AD,c,c,win
7C,8H,AC,6S,QS,c,c,loss
AH,6C,KD,9C,TC,c,c,loss
AH,6H,7H,7S,6C,c,r,win
TS,7H,9C,JH,TD,c,c,win
JD,QD,9S,8D,TD,c,r,win
9S,QS,JD,TC,9C,c,c,win
TD,QH,7H,TC,8C,c,r,loss
JD,JS,7S,6C,TD,c,r,win
TS,7D,6D,QC,JH,r,r,loss
9D,KS,KD,QD,8D,c,c,win
QS,9D,TH,AC,KS,c,c,loss
7C,9C,TS,QD,8S,c,c,loss
AD,KS,6H,QS,7S,c,c,loss
KH,AC,8C,9D,JC,c,c,win
6D,KC,TD,6H,8D,c,c,loss
9H,JS,JH,6H,TD,c,r,loss
JC,KH,TD,9D,KS,r,c,win
7C,8C,QD,TS,AC,r,r,loss
KD,KS,7S,6C,9C,c,r,loss
6D,TD,7D,QD,7H,c,r,loss
9C,JD,KC,8C,8D,c,r,loss
8S,TS,TD,TC,JD,c,r,win
AC,KD,QD,8D,JD,c,r,loss
AS,7S,KC,JS,7D,r,r,loss
AS,7S,8C,7C,KC,r,r,win
AS,QD,JD,QS,KC,c,c,win
9H,TH,QD,QC,QS,c,r,win
8S,7D,9D,QD,TH,c,r,win
8S,KD,QS,JH,AC,c,r,loss
KC,TH,7D,9C,JH,c,c,win
KC,TC,JC,6S,7C,r,r,loss
6S,JC,9H,JH,KS,c,r,win
KS,KH,6S,QS,7D,c,r,loss
KS,6D,KH,7H,8C,r,c,loss
9S,QD,8H,7H,8S,r,r,loss
6S,8S,9C,KD,6D,c,c,win
JH,9D,QD,QH,AH,c,r,win
6C,QS,TS,8H,KD,c,r,loss
QC,QD,9D,QH,AD,c,r,win
TH,QC,AS,7S,8D,c,r,loss
AC,TC,8D,7S,7C,c,r,loss
QS,TD,TC,7D,KD,c,r,loss
9D,KH,KS,6H,TS,c,c,win
JC,QC,KD,8C,KH,c,r,win
8D,JS,7H,JC,8C,c,r,loss
7H,9C,AC,TD,7D,c,c,win
TH,6D,9D,TC,KH,r,r,win
8S,9H,JH,TH,8C,c,r,loss
8C,TS,8D,QS,JD,c,c,loss
9C,9S,7C,TD,JS,c,r,loss
JS,9D,KH,7H,9H,r,r,loss
JH,JS,7C,6S,AC,r,c,win
9D,7S,6C,QC,TC,r,c,loss
9D,QH,AS,QS,QC,r,r,win
8S,AD,QC,7H,KC,c,r,win
QS,9H,9S,9D,6H,c,r,win
JS,8D,TH,7D,9D,c,c,win
QS,TD,KH,AD,9C,c,c,win
TD,8D,JH,7S,QH,c,r,win
JD,8S,AD,TH,9H,c,r,loss
TH,6D,7S,KH,9H,c,r,loss
7H,AS,KD,7S,TH,r,c,loss
JS,7C,8S,AC,KH,c,r,loss
TS,8H,7D,7H,8D,c,r,win
AD,TS,7H,AC,9C,c,c,loss
TC,KD,TH,JD,9D,c,c,win
TH,9S,KC,QC,JC,c,c,win
8C,AD,KS,8H,7C,c,r,win
8C,7H,6H,KC,AH,c,r,win
KH,6C,KS,8C,9C,c,c,win
AD,9H,TH,6C,JH,c,c,win
JH,KD,8D,KS,QS,c,r,loss
QC,JS,6D,JH,8C,c,c,win
KD,QS,JS,9D,QH,c,r,loss
6D,AD,7D,QD,AC,c,c,win
QD,KD,7D,8D,6S,c,r,loss
9D,7D,JC,8H,9H,c,r,loss
KD,8H,AC,AS,8D,c,r,loss
9C,8C,AS,9D,8D,c,c,loss
TS,QH,QC,6D,TH,c,r,win
KD,TH,TD,JC,6H,r,r,win
JH,TD,KC,7D,KH,c,r,loss
6S,6C,7D,QD,KD,c,r,loss
QC,QH,9H,TH,JD,c,r,win
JH,QH,6H,KD,TS,c,c,win
KH,TD,8D,6S,TS,r,c,win
JH,9C,QD,AS,6C,r,r,loss
AH,QH,JC,JH,7C,c,r,win
7H,QD,8C,9C,KD,r,r,loss
TH,6S,KH,8H,7H,c,r,win
9C,TS,QH,8D,AD,c,r,win
AH,JC,8D,KD,KH,r,r,win
QS,TD,8C,AH,JH,c,c,loss
TD,8C,6D,8S,9D,r,c,win
QC,9D,7C,QD,7H,c,r,win
JH,KC,6C,KD,9C,c,c,win
6C,KC,6D,8D,AS,r,r,loss
QH,AH,QS,JH,KS,c,r,win
9C,9H,JS,KC,QC,c,c,win
TC,9S,7S,AH,KH,c,r,loss
7C,QD,JC,AH,AD,r,r,win
JC,KH,TH,6H,KS,c,c,win
