card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
8S,QH,QC,6H,KC,7S,c,c,c,win
6H,6D,TD,JH,TH,KH,c,c,c,loss
KD,KS,6S,8H,9D,KH,c,c,c,win
6S,8C,6D,JS,8S,QH,c,c,c,win
8C,6H,6S,7H,TC,JD,c,c,c,win
KC,8C,JC,AD,9D,8S,c,c,c,loss
KC,AS,7S,JD,8D,6H,c,c,c,loss
KD,JH,QC,7D,KH,QH,c,c,c,win
TD,6S,JC,9C,TC,6D,c,c,c,win
AS,KD,9D,8C,JS,9S,c,c,r,loss
JS,QC,TD,6C,6H,QD,c,c,c,loss
KS,QC,8C,JD,9D,6S,c,c,c,loss
8H,QH,TD,8C,9C,6C,c,c,c,loss
6H,8C,QC,9S,AS,7H,c,c,c,loss
6C,AC,QC,TS,8S,7S,c,c,c,loss
QC,JC,QH,AS,AC,TS,c,c,c,win
TC,6H,7D,8H,6C,7H,c,c,c,win
KS,JH,9D,7S,7C,8S,c,r,c,loss
7S,TS,6C,7D,QS,TD,c,c,c,win
QD,JS,6C,7D,TC,AC,c,c,c,loss
9S,7S,QH,6D,8H,9H,c,c,c,loss
KC,TH,JS,6H,TC,7D,c,c,c,loss
9C,QC,AH,KC,JC,6D,c,c,c,loss
6H,6D,QH,QC,JH,7C,c,c,c,win
TS,9H,8S,JH,JD,TD,c,r,r,loss
7S,KH,7D,8C,8S,KC,c,c,c,loss
QC,6C,KH,QS,9H,6S,c,c,c,win
7H,9S,JS,QH,6D,8H,c,c,c,loss
TS,KS,9H,9C,7H,8H,c,c,c,win
9H,8S,6C,TS,KH,7H,c,c,c,win
KS,8S,KH,6S,QS,QH,c,c,c,win
QC,8S,QD,TH,AC,7H,c,c,c,loss
6H,7D,QH,JC,JS,7C,c,c,c,win
6S,KD,6H,7D,TS,7C,c,c,c,loss
9C,QD,AD,KS,9S,7H,c,c,c,loss
JC,TC,AD,9D,JH,AH,c,c,c,loss
AD,KS,8C,QS,JD,KC,c,c,c,loss
8C,6D,KS,7D,QS,8D,c,c,c,loss
6C,7H,8H,7S,AH,QH,c,c,c,loss
AH,QD,6H,QC,8D,7C,c,c,c,win
7C,AC,TC,QS,9D,6S,c,c,c,loss
6H,KD,TD,7C,JC,AS,c,c,c,loss
AS,7D,9H,8C,7H,AD,c,c,c,loss
6D,JD,TD,8H,QD,AC,c,c,c,win
AH,JS,QD,9C,8S,TC,c,c,c,loss
8D,TD,8S,TS,9H,9D,c,c,c,win
TH,6C,9H,AC,7H,7C,c,c,c,loss
AH,QS,9D,JD,7S,QD,c,c,c,loss
QS,AH,7C,QH,6H,TC,c,c,c,win
AH,JH,QS,KS,KC,TH,c,r,r,loss
6C,6H,QS,9C,JC,JS,c,c,c,win
QH,AH,AC,AD,AS,8D,c,r,r,win
8S,AD,KC,6H,QH,9D,c,c,c,loss
8S,6C,9H,KD,9D,8C,c,c,c,loss
9S,KS,8D,TC,6S,JC,c,c,c,loss
9S,QH,JC,9D,JS,8H,c,c,c,win
TD,JH,QS,8D,QC,QD,c,r,r,loss
8C,TD,9S,JD,9H,TH,c,c,c,loss
TH,AD,KH,9H,JD,AC,c,c,c,win
JS,6S,KC,QS,7D,JH,c,c,c,loss
JD,9H,KC,7D,KH,TC,c,c,c,loss
8C,7D,8H,KS,TC,JS,c,c,c,loss
KD,QD,9C,JS,TC,KS,c,c,c,win
QS,AC,TC,AH,AS,JS,c,c,c,win
TH,TS,JD,QH,QD,9C,c,c,c,win
7D,TC,AC,7C,7S,6H,c,c,c,win
8D,9H,AD,AS,QD,7D,c,c,c,win
QD,8C,9C,AH,9H,JD,c,c,c,win
QS,JD,TH,6S,AC,KS,c,c,c,win
TS,KD,JC,QH,JD,6D,c,r,r,loss
6H,KD,9S,JS,6D,TH,c,r,c,loss
QC,TD,7H,TS,8H,JH,c,r,c,loss
TC,AS,8C,QS,JC,7C,c,c,c,loss
QC,8C,9D,8S,KH,AD,c,c,c,loss
AC,AS,7C,7D,QH,8H,c,c,c,win
TD,7H,TH,AD,6S,8S,c,c,c,loss
KS,8H,QH,TH,7H,AC,c,c,c,loss
7D,6D,AH,8S,JS,6H,c,c,c,loss
8C,QS,QD,9H,QH,6S,c,c,c,win
9C,QD,9S,TS,8D,QS,c,c,c,win
KH,8S,KC,QH,AS,7S,c,c,c,loss
JD,KH,KS,AS,TH,JC,c,c,c,loss
KD,QH,6S,JC,KH,JD,c,c,c,win
TD,9S,JS,TS,KC,6S,c,c,c,win
TH,KC,6D,JS,QH,TD,c,c,c,win
AC,TD,7S,AS,6S,6D,c,c,c,loss
8H,JD,7C,9C,JH,7S,c,c,c,win
6S,KC,8C,6H,9S,9C,c,c,c,win
AS,AH,9H,TS,QH,QD,c,c,c,win
TS,KH,8C,6D,AD,9C,c,c,c,win
TD,6H,AH,7S,AC,6C,c,r,c,loss
7H,9D,QC,QH,8S,8C,c,c,c,loss
TH,9H,7D,JC,6S,7S,c,c,c,win
KC,AD,TS,6C,TC,8H,c,c,c,loss
TH,AS,7C,AH,9H,8D,c,c,c,win
TD,9D,JC,KD,6S,QD,c,c,c,loss
TD,7H,KS,QC,6D,9D,c,c,c,win
7S,AH,9S,9H,QD,9C,c,r,r,loss
8C,7H,9D,TD,TC,7D,c,r,c,loss
JC,6C,7H,7C,9S,KS,c,c,c,loss
8C,TD,KD,6H,8S,9H,c,c,c,loss
6S,6C,8C,7D,6H,QD,c,c,c,loss
AS,8C,9S,8H,8D,9C,c,c,c,win
KS,AS,QC,TC,QH,JS,c,c,c,win
QC,7D,6C,KH,9D,QS,c,c,c,win
AD,KD,TD,8H,KH,TS,c,c,c,loss
8H,8D,JD,6S,6H,KD,c,c,c,loss
8D,QD,QS,7C,TD,9H,c,c,c,win
KD,6D,TC,7C,9D,KC,c,c,r,loss
7S,9S,AH,8H,6C,QH,c,c,c,loss
6D,KD,JS,7H,9D,6H,c,c,c,loss
QH,TH,AD,6S,6C,8C,c,c,c,loss
7S,AH,8H,QS,TD,7C,c,c,c,loss
9D,KC,QD,KD,9C,7S,c,c,c,win
QH,TH,8D,9C,QS,QD,c,c,r,loss
7D,KD,9C,7H,QD,TD,c,c,c,win
7S,9S,QS,AC,TD,7C,c,c,c,loss
TD,QC,6S,8H,9S,8C,c,c,c,loss
6C,TH,9H,TD,JH,QD,c,c,c,loss
7S,6H,6C,JC,AC,QC,c,c,c,loss
AH,8C,8H,AS,TH,JD,c,c,c,loss
7S,TD,9C,9S,AS,AD,c,c,r,loss
8H,TS,8C,TH,QS,6S,c,c,c,loss
JC,QD,AS,QC,6D,6H,c,c,c,win
8D,KD,7D,AS,KS,JH,c,c,c,win
6S,KH,AH,7H,9H,7C,c,c,c,win
QD,QS,8D,QH,TS,QC,c,c,c,win
9D,TS,QC,8D,JD,KC,c,c,c,win
7C,7S,6D,QD,9H,QS,c,c,c,win
8H,7S,JS,9S,9C,AC,c,c,c,loss
7S,8S,JS,QH,8C,7D,c,c,c,loss
JC,9S,8C,QC,8D,AS,c,c,c,loss
KD,AS,9S,TC,7D,AD,c,c,c,loss
6H,6S,9H,TS,KS,JH,c,c,c,loss
AC,KC,QD,9D,7D,AS,c,c,c,loss
JS,AD,AH,6S,6C,9H,c,c,c,win
JD,KH,AD,8C,QH,TS,c,c,c,win
KH,KC,QC,7H,9S,QD,c,c,c,win
6H,AH,KH,8C,7C,QD,c,c,c,loss
AD,QD,9S,7S,9H,JS,c,c,c,win
TS,TH,KC,8S,6C,7C,c,c,c,win
TS,QH,AS,TD,KD,AD,c,c,c,win
TD,6C,KS,QD,9H,6D,c,c,c,win
8C,9D,KH,9S,KC,KS,c,c,c,win
AC,8H,KD,JC,9D,JD,c,c,c,loss
QC,6C,JD,AD,QD,9S,c,c,c,win
9D,AH,TS,QS,TC,8D,c,c,c,loss
TH,TD,8S,AD,KH,TS,c,c,c,win
9S,AD,QS,KD,7H,6H,c,c,c,loss
6S,8D,JC,6H,9C,8S,c,c,c,win
7S,KS,7D,JC,AH,8D,c,c,c,loss
9C,AD,TH,9D,7C,QD,c,c,c,loss
TS,8H,KH,7D,9H,7C,c,c,c,win
AH,8H,9H,AS,TS,JD,c,c,c,win
JS,TD,9C,JH,AC,8S,c,c,c,win
TC,6D,TD,AS,JD,TS,c,c,c,win
QS,6C,9H,AD,KH,QC,c,c,c,loss
9S,QD,KD,6H,JC,QC,c,c,c,win
AD,7C,8D,JH,7S,9H,c,c,c,loss
JC,8C,JS,AS,TD,KD,c,c,c,loss
JS,AS,6H,9C,QC,8D,c,c,c,loss
TD,KH,JS,6C,7S,AD,c,c,c,win
KH,TD,TH,QS,6H,QH,c,c,c,loss
KD,6D,7C,9C,9D,TD,c,c,c,win
6C,JH,JS,7C,AC,KC,c,c,c,win
8H,QS,QC,7H,QD,6S,c,c,c,win
6H,8D,7D,9D,KC,AS,c,c,c,loss
AC,7S,JC,7H,6H,AH,c,c,c,win
KC,TH,QS,6H,8C,JS,c,c,c,loss
KS,AS,AD,TD,9C,8S,c,c,c,win
QH,7D,AC,JH,JS,JC,c,c,r,win
AC,QC,KC,9H,6D,9S,c,c,c,loss
QD,JS,TS,6H,9D,AS,c,c,c,win
8C,8D,9C,7H,6D,AC,c,c,c,loss
6S,8S,QD,KD,TC,QC,c,c,c,loss
JH,KD,JS,KS,QC,9H,c,c,c,win
6C,JH,TH,AH,KD,9H,c,c,c,loss
QH,JC,7D,7C,8S,TH,c,c,c,loss
JD,8S,QH,6H,QS,AD,c,c,c,win
AH,TC,TH,6H,7D,KS,c,c,c,win
AD,KC,TH,8S,TD,JC,c,c,c,loss
8H,AS,TH,9D,AD,KS,c,c,c,win
7H,8H,8D,QD,JH,TH,c,c,c,loss
8S,AD,KC,KD,9D,JC,c,c,c,loss
AS,TD,TS,TH,7C,9C,c,c,c,win
AS,AC,JD,AH,8C,6S,c,c,c,win
6S,JC,8H,6C,KD,8S,c,c,c,win
7D,8C,QC,KC,9H,QD,c,c,c,loss
KC,QC,9H,JC,6H,6S,c,c,c,loss
KD,6D,AC,JH,AH,TD,c,c,c,win
7C,KS,QC,KC,8H,TS,c,c,c,win
KH,9C,KD,QS,KS,AD,c,c,c,win
QD,9S,TH,6D,9C,AH,c,c,c,loss
AC,6S,6C,AS,TC,JC,c,c,c,win
TS,7H,JD,JS,7D,8C,c,c,c,loss
8D,6D,7C,JD,6C,KD,c,c,c,win
7C,6H,TH,QD,9H,JS,c,c,c,loss
QS,KD,QH,9C,6S,9H,c,c,c,win
9C,TC,8D,JD,JS,TS,c,c,c,loss
JC,7D,TS,9H,AC,KD,c,c,c,win
9C,TC,7S,JC,AH,6C,c,r,c,win
KS,JD,7S,6C,8H,AC,c,c,c,loss
QS,9H,8C,7S,JH,9C,c,c,c,win
JS,AH,JC,8C,KD,TD,c,c,c,loss
TC,6H,AS,QS,7C,JS,c,c,c,loss
7C,9D,7D,8H,TC,6S,c,c,c,win
9D,JS,JC,7D,9C,7C,c,c,c,loss
6H,KH,9D,AD,AC,KD,c,r,r,loss
AC,8C,9S,8D,TC,9H,c,c,c,win
TS,AC,TH,AH,JS,6S,c,c,c,win
JC,KH,TH,9D,7D,7H,c,c,c,loss
9H,QS,TH,7S,QH,9S,c,c,c,win
AH,8S,KD,7H,TH,TC,c,c,c,loss
QD,8S,8D,6D,6H,TS,c,c,c,win
TH,QD,6H,TD,6C,7D,c,r,r,loss
KH,QD,7D,9C,6H,QH,c,c,c,loss
8H,JH,TH,6H,TC,KH,c,c,c,win
QC,7S,JD,8D,JH,AC,c,c,c,loss
JC,AD,QH,7S,AC,9C,c,c,c,loss
AS,TD,JS,TH,KC,9C,c,c,c,win
KH,TH,QH,AC,6D,9S,c,c,c,loss
AD,JC,9S,9D,KS,QH,c,c,c,loss
8H,8D,TH,JS,7H,KS,c,c,c,win
8C,JC,QD,8D,QC,QH,c,c,r,loss
AD,8C,QS,9S,6C,7S,c,c,c,loss
JC,QC,9C,TS,8H,6D,c,c,c,win
6S,KD,TD,6H,AS,8S,c,c,c,loss
JH,AH,QS,QD,6D,QH,c,c,r,loss
AH,7S,6H,9D,8C,6S,c,c,r,loss
7H,QS,8H,JC,QD,9D,c,c,c,loss
JD,QD,6S,TH,8S,9H,c,c,c,win
6H,6D,7H,KH,KC,KS,c,c,c,win
AC,6H,QC,JS,6D,QD,c,c,c,loss
6D,8C,9S,7C,TS,9C,c,c,c,loss
AC,8S,6C,7D,QD,9H,c,c,c,win
QD,AD,TC,6S,6H,6D,c,c,r,loss
TC,9C,8D,TH,QH,6D,c,c,c,win
TS,6S,7C,TD,9D,8D,c,c,c,loss
6S,QH,9S,7C,KC,TC,c,c,c,loss
QD,AS,KC,JD,KD,QC,c,c,c,win
JH,AC,7D,AS,QS,KD,c,c,c,loss
QH,8H,JH,TD,KD,7S,c,c,c,loss
QH,KD,8C,TD,AH,JD,c,c,c,win
JS,AS,QS,JD,JC,TC,c,c,c,win
8H,QH,6D,8D,AC,TH,c,c,c,loss
8S,KS,TC,7D,KD,6S,c,c,c,win
8C,6S,KS,9H,KC,6D,c,c,c,win
TD,KD,KS,KH,7H,6H,c,c,r,loss
7S,9S,6D,KH,7D,TS,c,c,c,win
KD,8S,KS,KC,6H,9C,c,c,c,win
8S,TD,TS,9H,7H,JS,c,c,c,win
6S,AS,KC,8C,AC,JS,c,c,c,loss
