card1,card2,card3,card4,card5,bet1,bet2,result
AS,KC,6S,JC,QH,c,c,win
8C,7C,JS,7H,QD,c,c,loss
7D,QH,KS,TS,JD,c,c,win
9S,JS,QS,9H,KC,c,c,win
JD,7D,JH,KD,6S,c,c,win
7H,6H,KC,TC,8D,c,c,win
JS,9S,7D,JD,TH,c,c,loss
8D,8S,9H,TD,QD,c,c,loss
AH,7H,7D,TC,9C,c,c,win
KH,QC,AC,7S,6C,c,c,loss
JS,8S,KS,9S,QD,c,c,win
6D,9C,9S,QC,8C,c,c,win
AC,QC,9H,KD,QS,c,c,loss
9D,QH,QD,TD,6C,c,c,loss
TS,9H,JC,7H,8C,c,c,win
6H,AD,JC,8S,8H,c,c,loss
9H,8H,KD,9C,6D,c,c,loss
KH,JC,TH,7H,TS,c,c,win
KH,JS,TH,TC,8C,c,c,win
QC,JH,KH,QD,TD,c,c,win
KH,QD,JH,KD,JD,c,r,loss
QS,7S,7D,KH,7C,c,c,win
8H,TS,7C,6C,KH,c,c,loss
TD,7C,6D,9H,KS,c,c,loss
7D,6S,8S,KC,6C,c,c,win
KS,JD,TD,QH,8C,c,c,win
8S,7H,JC,9S,QS,c,c,loss
AD,JD,TC,AS,JH,c,c,loss
JH,8D,AS,KC,6D,c,c,loss
8H,9C,QS,6S,6C,c,c,win
TD,KH,QS,KD,8S,c,c,win
AC,9D,9H,6D,9S,c,c,win
8D,QD,AH,JH,9D,c,r,loss
8H,AH,KS,6H,JH,c,c,win
JD,7D,9D,AC,KC,c,c,win
AS,TH,8H,6D,AC,c,c,win
QD,QC,AH,6D,6C,c,c,loss
KS,9D,AH,6H,QS,c,c,loss
JC,8H,AS,7C,9S,c,c,loss
KD,7H,JS,9C,JD,c,c,loss
JH,9H,KS,8S,8H,c,r,loss
9D,TS,QH,AH,KC,c,c,loss
AS,9H,KS,TC,9D,c,c,win
TC,AS,6H,6D,8S,c,c,loss
6C,JC,AH,QH,8S,c,c,loss
8S,AC,AS,KH,TH,c,c,loss
QC,QH,8C,AC,JH,c,c,win
AH,KH,8C,7H,QC,c,c,win
9C,9H,QS,JC,6S,c,c,loss
QH,8S,7D,JD,TS,c,c,loss
AS,KH,TH,9D,9C,c,c,loss
6H,TC,JS,AH,9H,c,c,loss
JC,6H,8S,AH,6D,c,c,win
QH,6D,8D,JH,7S,c,c,loss
KD,AS,9S,8D,QC,c,c,loss
6D,AC,7C,JD,9D,c,c,loss
AD,TS,8H,AH,QD,c,c,loss
KS,7H,6D,7C,8C,c,c,win
9H,AS,TC,8D,6S,c,c,win
KH,6H,KD,JC,9S,c,r,loss
AS,AC,TS,TH,TC,c,r,win
9D,QS,TH,8H,QH,c,c,win
QH,AH,TH,JD,9H,c,c,win
KS,TD,6D,6H,9C,c,r,loss
TS,TD,JD,QS,9C,c,c,win
9D,JS,TC,7D,QS,c,c,win
9C,TD,9H,7D,QH,c,c,win
6H,8H,9C,AS,7S,c,c,loss
KD,8C,KC,KH,9C,c,c,win
6D,7S,9H,KS,KC,c,c,win
TD,KC,7C,9D,AS,c,c,win
KC,6S,KH,6D,7C,c,c,win
JD,TC,AS,JS,7C,c,c,win
6D,7S,QH,QC,TH,c,c,loss
7S,7C,QD,JH,8H,c,c,win
JC,9D,7H,7S,6H,c,c,win
JC,7S,KC,9D,7C,c,c,loss
8S,TS,8H,JS,8D,c,c,win
JD,7S,QS,TS,TD,c,r,win
6S,8C,8D,KH,QC,c,c,loss
TH,JH,JS,TC,AC,c,c,win
KC,7D,9D,KD,KS,c,c,win
9H,KD,6H,AC,QD,c,c,win
6H,TD,9S,KD,7H,c,c,loss
AC,QH,JD,9D,9H,c,c,loss
AD,6C,9H,8S,KC,c,c,loss
QS,JH,7S,AS,AD,c,c,loss
9H,TH,KD,QS,6C,c,c,loss
KS,JH,AC,KH,7H,c,c,win
AH,7S,7C,AD,JS,c,c,loss
AS,9H,KD,AC,AD,c,c,win
JH,TS,KD,AS,8D,c,c,win
JD,QC,7C,8S,TS,c,c,loss
QH,7D,JD,6C,AC,c,c,loss
6C,8H,TD,JC,JD,c,c,loss
QS,JH,6S,JS,8D,c,c,win
7S,9C,TC,KD,9S,c,c,win
AC,KS,9S,8H,KH,c,c,win
AH,QH,7C,6C,QD,c,c,win
TH,8D,JC,QS,7H,c,c,loss
JH,8S,7C,TC,6C,c,c,loss
6H,6D,TD,KD,AH,c,c,loss
AS,7S,KS,6D,6H,c,c,loss
9S,9D,8D,8S,JS,c,r,loss
TC,AD,9C,KD,JH,c,c,loss
AD,6D,JC,9S,AC,c,c,win
JD,9C,6S,6H,7D,c,c,win
TS,6D,8C,9D,6S,c,c,win
AH,8S,7S,6D,TH,c,c,win
AS,8S,KC,KH,9D,c,c,loss
AS,JC,9C,6D,6H,c,c,loss
6C,TH,9H,QC,JS,c,c,win
JS,7D,9S,9C,7S,c,c,win
JH,JD,8C,8H,AS,c,c,win
6C,6D,8S,KS,QH,c,c,win
6C,AD,7D,TC,6D,c,c,loss
8C,9D,9H,9C,QS,c,c,win
TS,8S,JH,6H,JS,c,r,loss
7H,KS,AS,7C,7D,c,c,win
7H,TD,8S,QC,KH,c,c,loss
KH,7C,6C,AS,TS,c,c,win
TC,9C,6H,JH,TH,c,c,win
JS,JC,9C,QC,7C,c,c,loss
QD,TC,JS,7S,6D,c,c,loss
TH,JC,JD,TC,QC,c,c,loss
6S,6D,JS,6C,9C,c,c,win
TH,JH,6D,6C,KD,c,c,loss
JS,TH,6D,8H,9S,c,c,loss
AH,QC,9H,8S,7S,c,r,loss
JS,QD,7C,8S,6D,c,c,win
7D,6H,TD,AD,QD,c,c,loss
8C,AD,6H,JS,TH,c,c,loss
8H,AD,TS,KS,9C,c,c,loss
AC,7S,JH,9H,7H,c,c,win
8S,TS,TH,7C,6C,c,c,win
7H,TD,QD,8C,7S,c,r,loss
AC,KC,6S,JS,9H,c,c,win
JH,7S,QD,KH,8D,c,c,loss
6S,TS,JH,7H,9C,c,c,win
8H,8D,QD,8S,TH,c,c,win
QC,9D,QH,AC,JH,c,c,loss
7D,AC,7S,AH,8D,c,c,win
AC,JD,8S,9S,TH,c,c,loss
8H,6C,7D,JS,8S,c,c,win
6C,KC,9H,7S,8S,c,c,loss
AH,9D,QC,QH,8S,c,c,loss
9D,QD,9H,TS,7S,c,c,win
JH,KD,8C,KH,AH,c,c,loss
QS,KD,6D,6C,JH,c,c,loss
8D,TH,9D,AC,KS,c,c,loss
TS,9D,TH,7S,AC,c,c,loss
9S,AD,QH,JD,6H,c,c,loss
KC,7H,TD,7D,TH,c,c,win
KC,9H,QD,JS,AH,c,r,loss
AH,7C,AS,7H,9H,c,c,win
7D,JH,JD,8C,AD,c,c,win
AH,9H,TS,TH,8H,c,c,loss
JD,6H,TS,7D,KC,c,c,loss
KS,QH,8H,7D,TS,c,c,loss
8D,7C,6H,8S,7D,c,c,loss
QC,9D,QH,KD,AC,c,c,win
7S,KC,JS,9H,6D,c,c,loss
9D,7H,TH,8D,JC,c,c,win
6H,TC,QH,JS,KH,c,c,win
7C,KH,JC,6C,TD,c,c,win
TD,8H,6C,JC,9S,c,c,win
7H,6C,JD,8S,9S,c,c,loss
AH,9H,TS,AS,8D,c,c,win
AS,TS,KD,JS,TD,c,c,win
8D,JD,9S,8C,7H,c,c,loss
7D,6H,QH,QS,QC,c,r,loss
TD,8S,8C,JH,KC,c,c,loss
JS,JC,7D,QS,KH,c,c,loss
9C,QC,TH,8C,AH,c,c,win
TS,TC,8H,8D,AS,c,c,win
7C,6D,6H,8D,KD,c,c,win
6D,6C,9C,TD,8C,c,c,loss
KC,6H,TH,9C,8H,c,c,win
6H,JH,8H,TD,8D,c,r,loss
KC,QH,QD,TC,9H,c,c,win
QH,KD,8C,TS,7D,c,c,win
6D,7S,TC,QC,6C,c,c,loss
AS,TD,JC,7S,7D,c,c,win
7D,8H,TC,KC,AS,c,c,loss
JH,AC,TH,TS,JC,c,c,loss
KD,7S,7C,8H,6S,c,c,win
KS,QD,AC,AH,9S,c,c,loss
6S,KC,7H,QH,AS,c,c,loss
8S,6S,JH,TD,7S,c,c,loss
7C,AD,TD,9H,7H,c,c,loss
AC,JC,9D,QC,7C,c,c,loss
7C,8C,8H,TS,JH,c,c,loss
AD,7D,9H,6H,KS,c,c,win
KD,AH,JH,8S,9H,c,c,loss
TH,TS,9D,AH,QS,c,c,win
7D,QD,QC,6S,7H,c,c,win
6S,8H,TD,AS,JH,c,c,loss
KH,8H,TS,KS,9S,c,c,loss
9H,6H,TS,JH,9D,c,c,loss
AC,9D,9H,JS,TD,c,c,win
6C,6H,AD,AH,8H,c,c,loss
TH,7D,7H,AC,9C,c,c,loss
8C,TD,7H,AH,9H,c,c,loss
AH,9S,7D,TD,8H,c,c,loss
QH,TD,6C,6D,9C,c,c,win
7H,AH,6C,TS,KS,c,c,win
JS,KC,7H,QH,8C,c,c,win
JD,QD,6H,KD,6D,c,c,win
7H,9C,AD,9S,QS,c,c,win
JS,6H,7C,KC,6D,c,c,loss
TC,8D,6H,JS,QS,c,c,win
8H,JD,9D,KS,JS,c,c,win
9H,TS,TH,JS,9D,c,c,loss
TH,QS,KD,6D,TD,c,c,win
6C,KH,KS,6H,6D,c,c,win
6S,7H,7D,AC,9S,c,c,win
9D,QC,6C,QS,TC,c,c,win
JD,6D,7C,TD,QD,c,c,win
7S,AS,6S,TH,TC,c,c,win
7C,6S,JS,6H,TH,c,c,loss
7H,JD,TC,9H,8H,c,c,loss
KH,8C,AH,JC,8S,c,c,win
KH,QH,6S,8C,6C,c,c,win
AD,KS,8S,QD,AC,c,c,loss
9C,AH,6D,QD,QH,c,r,loss
8D,TD,TC,KS,JC,c,c,win
7C,9H,QH,TH,6H,c,c,win
JD,9C,AD,9H,QH,c,c,win
7D,QD,6D,8D,7H,c,c,win
QD,TS,KH,6C,JH,c,c,win
QS,JH,9S,KC,7C,c,c,loss
9C,QS,JS,6H,9H,c,c,win
6H,KH,6D,TH,KS,c,c,win
AD,QD,JD,AC,6S,c,c,win
AC,8S,8C,AS,QC,c,c,win
