card1,card2,card3,card4,card5,card6,card7,result
8C,6H,JH,QC,QD,TS,9D,win
6C,8S,TC,KD,AS,QD,9H,loss
JC,7S,6D,7D,9H,QC,QH,win
JC,AH,QS,AD,7D,8S,6H,win
TC,KD,9S,KC,8D,7D,AD,win
QD,TC,7D,AC,TS,6D,9S,win
QD,JC,AH,QH,AC,KS,6H,win
AH,KH,8S,TC,QC,8D,QD,loss
8H,8C,9D,TC,TH,QC,KS,loss
6S,JD,8S,JS,QH,TS,6H,win
6C,KH,7D,AH,AS,8C,6H,loss
TH,AH,JH,8H,8S,7C,6C,loss
JC,7C,TD,6D,TH,7H,AS,loss
JS,7S,6S,TD,TS,JD,7D,loss
QD,8C,JS,TC,8H,QC,6S,win
7D,JD,JC,6C,QS,8D,AC,loss
AS,KD,9D,7D,KH,AC,QH,win
JC,8C,6D,KS,9D,6C,8H,win
7H,KC,TS,9S,6D,JH,9D,loss
TC,6D,KC,QC,9S,KH,6S,loss
JD,TC,7C,9S,6S,TD,JH,win
8C,6D,KC,QD,6S,AD,8D,win
TC,9H,8D,AD,QD,KD,7C,loss
9H,7H,7S,TH,KS,6H,KD,win
8S,JS,AS,7H,QH,TH,7S,loss
9H,AD,KH,KC,AC,TS,AS,win
6H,JS,TS,7S,9D,QC,6D,loss
6D,6H,QC,JH,JC,8S,7H,loss
QD,8S,6C,TC,8C,JC,9D,win
8C,AD,JD,7D,TH,AS,TS,win
QC,TH,9S,8D,AH,6S,7C,win
9S,7C,6H,TS,9H,7D,KC,win
KD,8C,AC,9H,TC,8S,KS,win
KD,7C,AS,6D,8C,AC,KC,loss
9H,JC,JH,TD,KS,KD,QC,loss
TD,7D,7S,7C,JS,8C,QH,win
QD,8S,6H,KC,7C,9D,JD,loss
KD,8S,AD,JH,QD,KC,9S,win
7S,JC,8S,TS,6S,8D,JS,win
JH,AS,KC,7D,9D,KS,QD,loss
JH,JC,JS,9H,KS,KC,AD,win
KH,7H,QH,8C,KC,JD,TD,loss
8C,7C,KH,KS,QC,TD,8H,loss
8C,TS,TD,7D,9S,9C,AS,loss
8S,9D,TC,6C,AS,JD,AH,loss
KS,9C,AH,TS,8S,7H,JC,win
QH,6D,7H,AD,6C,JD,QC,win
TS,TH,6D,9D,JH,8D,KH,loss
TC,TS,6C,JC,JH,7D,9C,win
9H,8H,TS,AS,QC,7D,KD,loss
JD,6D,6C,TC,QS,AD,7D,loss
TH,TS,JC,QC,AC,JS,6S,win
KS,KH,QS,6H,9S,TC,JC,win
9H,JC,JD,QD,KD,AC,7D,loss
7C,TS,KS,9D,QH,9H,7S,loss
QH,7S,6H,9H,8H,7D,6C,win
AD,9S,KC,TC,TS,TH,AS,loss
KD,TS,6D,8C,7S,6S,AC,loss
TC,6C,9D,7H,JH,KH,7C,loss
7D,JD,KC,TD,JC,7C,TH,win
6C,TH,QS,JH,6D,TD,8D,loss
KH,7D,JC,JD,9H,6C,7H,loss
AC,KD,AD,8S,7S,JC,QH,win
6D,QS,AS,KD,9S,9C,QC,win
QS,QH,9D,AD,JS,7S,9S,loss
8H,7H,9C,7S,KC,JC,AS,loss
AH,8H,6H,7C,TC,KD,QS,loss
7C,7H,AH,TS,AC,7D,7S,win
6S,JC,KH,6C,TD,8D,7S,loss
JS,KD,QH,8S,6S,8D,KC,win
7H,JS,TC,KS,6S,QD,9D,win
8C,TH,6S,AS,9C,TC,7S,win
9S,JH,7H,6C,8C,TC,7D,loss
KC,AC,8D,8C,9D,KH,JS,win
6D,8H,JS,KD,TS,KH,KC,loss
AH,AC,7D,8S,AS,7S,KS,win
AH,KC,KS,TH,9C,JH,KD,win
6C,QS,QH,JD,6D,9D,9H,win
8H,KC,9S,7C,JS,QD,JH,loss
QD,6D,AH,7D,JC,TH,QS,loss
AC,QH,8D,QD,6H,TC,QS,win
9H,KS,JS,7S,QC,7D,TS,win
TS,KS,AC,QD,7D,JC,JD,win
9D,8S,7S,7H,TD,AS,9H,win
JH,KC,7D,KH,AH,TC,6H,win
KC,QH,KH,8D,KS,7H,QC,win
6D,9H,TH,JH,7S,AD,QS,loss
6H,JH,QH,6C,7D,6S,TH,win
7S,AD,9S,TH,AC,7C,JC,win
9H,TD,TS,6D,JC,QH,AH,loss
8C,QS,JH,AH,TH,9D,6S,win
QD,AD,QS,JS,8H,AH,TS,loss
6C,TD,8D,KH,KC,9S,TC,win
JH,9H,8S,TH,9C,8H,KH,win
9C,AS,TD,TS,8C,6D,6C,loss
8C,QS,KS,TC,JH,JS,AD,win
QH,JD,7H,TH,AS,JS,9D,loss
TC,7S,KC,KD,KS,AD,JS,loss
KD,JS,KC,6D,8C,QC,7C,loss
6C,9H,QS,KC,7H,TC,JC,win
9D,TH,KS,8C,QD,QC,7C,loss
TD,AH,QD,7C,QS,8D,9S,loss
9C,6D,9H,6C,7D,QD,8D,loss
6S,8H,8S,7H,TC,9D,7S,win
8D,KD,JD,8C,JC,QC,9C,loss
6C,TS,9H,8S,7H,8C,8H,loss
7C,KC,KS,7H,AH,JS,9C,win
8D,QS,QC,JC,AD,6C,7H,win
TC,AD,JS,JD,7S,QS,QC,loss
7H,6S,JC,8S,QD,TS,KH,loss
QH,6D,8S,AD,6H,6S,TS,win
JD,JC,QD,QS,9S,AS,6C,win
9S,QD,JS,QC,9H,QH,9D,win
AS,AH,9S,KC,JH,6C,6D,loss
QH,AD,6S,AS,8S,KH,7H,loss
6S,9D,6C,AS,JS,QS,KS,loss
QD,JS,9D,QH,7C,KS,6H,win
JD,TH,QS,8D,JS,JH,KC,win
AC,8S,JC,TH,TC,QS,6H,loss
6S,8C,9H,8D,TH,QS,6C,win
8D,6D,7C,QS,TC,AC,QC,loss
9C,QH,9S,6C,8C,KD,7D,loss
AS,JC,8D,QC,JH,TC,QD,loss
8D,QH,TS,JH,TD,9D,QD,win
JH,9S,AH,JS,QC,KC,6D,loss
QD,6S,KH,6C,AC,QC,JC,loss
7D,9D,7S,TD,KH,TS,7H,win
KH,7C,JD,8S,AS,9H,6D,loss
7S,KH,AD,9S,6C,9C,QH,loss
8D,8C,QC,7H,KS,QH,9C,loss
JS,7D,AH,7C,TC,QS,JH,win
QH,7C,8S,7H,7S,6H,8C,loss
6H,JD,7C,7S,KD,9H,QS,loss
TC,8H,9D,9H,JH,8D,QS,win
8D,7D,TH,KD,AD,9S,6S,win
8S,8H,QC,9C,JD,AH,QH,loss
JS,7H,6S,7C,9S,QH,TH,loss
6C,QD,7S,QH,JS,TD,6H,loss
9S,KD,JD,AH,AC,AD,8S,loss
7D,TS,KC,JS,QD,8C,AD,win
9H,JH,JC,QH,9C,7H,6H,win
7H,7D,KC,QH,9C,8S,7S,win
JH,AD,JD,9C,8H,6H,TD,loss
AD,TS,AC,KS,JC,KD,JD,loss
7C,QC,6D,JD,6S,AD,6H,loss
8H,QD,KH,9S,9H,AS,TH,loss
9D,QH,7C,6D,6H,AD,8H,loss
9S,KH,9H,9C,AC,6H,JD,win
6C,AH,QS,JH,AC,6H,JD,win
QC,JD,JS,7H,QH,JH,KS,win
KC,AS,AH,TC,7C,8H,TD,loss
9D,TC,6C,QC,8H,QD,JD,win
7D,QS,6C,JC,8S,TD,6D,loss
TC,9S,7S,KH,6H,JD,KC,loss
AD,6D,6S,8S,QC,9S,7D,loss
8H,JS,QS,KC,9H,AC,KD,loss
KC,JS,AS,7S,TH,8H,AC,loss
JC,TC,TH,6H,AH,9C,JD,win
AC,8D,6H,8S,JH,AS,AD,win
7D,6D,9H,AS,KS,8H,QC,loss
8D,8S,7S,TD,AH,KC,KS,loss
6C,JS,9H,JD,TC,KS,QH,win
6C,TC,AS,KS,TH,9C,KD,win
8H,6S,6C,QS,AH,TS,7D,loss
QD,TS,8C,AH,TH,AS,7S,win
QS,6C,JC,KH,8D,6D,AS,loss
KH,8D,8H,AS,KC,AC,TC,win
9C,9H,7C,JS,6S,9D,AD,win
9S,JC,TC,8C,AD,TS,6H,loss
8C,8H,7H,7D,JS,QS,TD,win
6C,TH,AH,KS,TC,9S,JC,win
KS,8C,KD,6D,TC,TS,QC,win
9C,KC,8S,6D,QC,8C,QS,loss
9D,TC,8S,TD,9S,AC,6H,loss
6D,8S,JS,8D,AD,6S,6H,win
9C,JD,9D,TH,8H,KD,TD,win
QD,8D,QS,KH,JH,6H,AD,loss
9D,TC,9H,KC,AC,JD,6S,loss
9C,TC,QH,8D,KC,JC,TD,win
9S,TC,8D,7C,KD,9H,9C,win
TC,8D,QS,AS,8C,8H,6H,win
AS,TS,TD,JD,9H,7S,6D,loss
KS,JC,6C,QD,AH,JH,7D,win
TD,7D,QS,AS,TS,AD,QC,win
AS,7C,QD,QC,JH,6H,TS,loss
JH,TH,AD,9D,QD,QH,9S,loss
6D,QH,6C,AC,7C,KS,JD,win
8D,8S,9D,KS,8C,TS,7D,win
7H,6C,KD,TD,AS,8D,TC,loss
AH,AS,AC,QD,8S,9C,QC,win
TC,6H,TH,6S,QS,KS,8S,loss
9D,8C,8S,KC,9C,6H,TC,loss
KC,TD,7C,7S,AC,JC,9D,loss
9D,JH,JD,TC,8D,KD,6S,loss
QH,7S,8D,TD,6S,7H,7C,win
6C,7S,8H,KD,AS,9H,8D,loss
KD,8S,QH,KS,JD,9D,KH,win
8D,JC,8H,6S,AS,7C,KS,win
6H,KD,TS,AD,KC,JC,8S,loss
QH,TD,9S,9C,8H,QD,9H,win
JD,6H,TS,AS,6D,KS,9D,loss
KD,9C,QD,JD,9S,TH,JS,win
AH,9C,JD,8C,AS,KC,6C,win
8S,AH,8H,9D,JC,6S,7C,win
8C,TC,9S,KD,9H,TS,TD,win
JD,JS,JC,6C,8S,KS,AD,win
TS,9C,JH,9D,7C,8S,6C,win
8D,6D,9S,JD,7S,QH,AH,loss
KC,JC,TD,JH,QS,8S,7C,loss
7D,7S,AD,7H,QC,JH,6H,win
KS,TC,JH,AH,KH,7S,8D,win
6C,7D,9S,8H,TC,9D,QH,win
JH,7C,9S,8H,8D,QS,6D,loss
TH,8H,JC,KH,8S,6S,TS,win
7C,TH,7H,6C,6S,TS,KS,loss
8S,7C,QS,TS,TH,9S,JC,win
QS,QC,6S,9D,7S,9H,7H,win
TH,QD,7C,JC,JH,KC,AS,win
JC,JS,KS,KD,TC,9S,TH,loss
9S,AC,7H,AH,TD,AS,9H,win
TD,JC,KS,6H,AC,7S,9H,loss
8S,QC,TC,JD,6H,QD,AD,loss
6H,KC,TH,KH,9D,JD,6S,loss
AH,9D,7D,TH,KC,8H,9H,loss
QD,TD,7H,9D,QH,9H,6H,loss
8D,9H,9D,QH,AC,QS,9S,win
7D,JS,TS,AS,QS,6C,9S,win
KH,9S,7H,TH,QS,AS,KD,loss
JH,8S,AD,9D,9C,AS,7C,loss
7D,7S,KS,9H,6H,QS,KD,loss
9D,6C,JH,TC,6D,TD,JD,loss
7S,7H,AH,KD,AD,8C,JC,win
KH,JD,JH,7S,9S,KD,AC,win
8S,9S,KD,QC,8H,JC,QD,win
9C,7S,6H,9S,KD,TD,8S,loss
QS,JC,TS,AC,6S,QD,TC,win
TS,8S,TC,9D,KD,7H,6H,win
9H,JD,7H,8D,9C,TS,KH,win
7D,6D,QS,9D,KH,6C,AH,loss
TC,8D,TS,TD,8S,8H,KS,win
6H,9C,9H,TH,TS,7C,KC,loss
7S,7H,8D,KC,TS,8S,8C,win
QD,7C,6H,7D,9H,9S,6C,loss
6S,KS,JH,8S,JS,QS,TH,win
7C,JS,7D,AC,9D,AD,9S,loss
JC,6D,8C,QC,6H,TS,QS,loss
6D,JD,6S,8H,QC,7D,9S,loss
KH,KC,6C,6S,TD,AD,7H,loss
QD,7D,AD,9C,8S,TS,8C,loss
JC,QH,TH,AD,7D,JH,KS,win
9S,7D,8H,JS,JC,TS,8S,win
9S,7D,7C,QH,JD,JH,KD,win
QD,AS,TD,9H,QS,KC,6D,loss
QS,KD,QH,9D,JC,JS,JD,win
AS,QH,7D,JD,TH,9S,JH,loss
KS,KH,QH,TC,JC,AD,QS,win
9S,KS,JD,8C,AC,9C,KD,win
QH,6H,8C,8S,TC,AH,AS,loss
JH,7S,AD,QC,9D,AC,8C,loss
9D,AH,TS,9S,QH,JS,6S,loss
KS,9S,QC,8H,6C,QH,7H,loss
AC,AD,8D,6H,KD,7C,JD,win
AC,AD,8H,TS,KH,9C,QD,loss
JH,AC,KC,9C,QH,KS,6D,loss
JH,8C,JD,6H,9H,QH,KS,loss
7C,AH,TH,8S,QD,JC,QH,loss
9H,8C,8S,6S,QS,AH,QH,loss
JC,AS,8C,7C,7D,TS,AD,win
QH,9D,9S,QS,TS,6S,KC,win
TH,7S,QH,AH,9S,JH,8C,win
AS,TD,7S,8C,TS,6S,QD,loss
AS,9D,9C,7S,TS,7D,AH,win
JH,9H,7C,KD,TH,9D,7H,loss
9S,AD,8H,QC,7D,TD,AH,loss
KD,9S,KS,8S,7H,6D,9H,loss
JC,KC,7D,AC,KS,AH,8S,win
8S,6H,JD,QH,6S,7C,7D,win
TH,JS,9H,AH,9D,TS,7D,loss
TH,9S,7S,QC,9D,KS,JH,win
AC,JH,9C,JC,KS,AS,9H,win
JH,TC,QH,9H,6D,JC,7H,loss
QD,QC,JH,KD,KS,7D,9H,loss
AD,JC,6H,9H,6D,8C,9C,loss
TC,8S,6D,JH,6C,TD,9S,win
AC,6H,9S,9C,9H,KS,TC,loss
7S,KD,JD,TD,9S,QC,JH,loss
AD,QC,TH,KC,6H,KD,6S,win
6S,QH,JC,KH,TC,KC,JD,win
6C,8D,8H,JS,7D,9C,JD,win
JH,9H,KS,8H,8S,6S,9S,win
8H,8S,6H,KH,TS,QD,QC,loss
KC,6S,AC,8D,AH,7S,QS,loss
6C,8H,AS,KC,6S,QC,TH,loss
JC,AS,TC,7S,8D,6H,7C,loss
JD,7D,9C,6C,KH,9S,8D,loss
QH,8H,7D,9S,7C,8C,8D,win
7D,QC,QS,AH,7C,AD,TS,loss
8D,AD,AH,JH,JC,9S,QS,loss
QD,6D,6C,JD,8S,9C,9S,loss
8D,AC,7C,8H,KH,JS,AS,win
9S,JC,7S,6C,AS,7C,QC,loss
QC,8H,9S,9D,AH,9H,JC,loss
AD,QC,7D,7C,JH,8C,KC,loss
TS,AS,9S,7C,AH,7D,6D,win
KC,JD,QS,9H,7S,8D,QC,loss
7H,QD,6H,KD,QS,QC,AD,win
6H,7C,TS,9D,6C,TH,6S,loss
6D,8D,AS,AH,QD,JC,QS,loss
7H,8S,KH,AS,9S,6S,TH,win
6S,8C,TS,8H,9H,8D,JS,win
8C,AH,QD,8S,KH,9D,9C,win
AH,TC,8C,QS,KD,7S,6D,loss
QC,QH,JD,TD,9D,KH,9C,win
7S,9D,8D,KS,8S,TH,QC,loss
6S,9D,KD,QC,QD,8H,QS,loss
8H,QS,6S,TS,JH,AD,AS,loss
QD,JC,QS,8H,KC,AH,9D,loss
AS,8D,9S,8S,9C,JH,QS,win
TD,7D,6C,KH,KC,9H,TC,loss
9H,8C,KS,9C,QC,AD,6S,loss
QS,6C,AC,8D,TS,QD,KC,win
KS,9S,JH,AS,7D,JC,TS,loss
6D,7S,QH,8C,KC,9H,TC,win
6S,7D,9C,QC,JD,KS,AC,loss
AD,TS,QD,QH,AH,9D,9S,loss
JC,8C,KC,QD,AC,7S,TD,win
KH,9C,JH,TC,TD,AD,QD,win
JH,KH,JS,KS,6H,QC,7S,win
QC,KS,QH,KC,JH,6H,7H,loss
9H,JD,6D,9S,TC,7C,QH,loss
9H,JD,QC,JH,JC,8C,QS,win
JH,9S,8D,8S,KD,9D,7C,win
7C,AS,AH,AC,6C,7H,6S,win
8D,6H,8H,6C,9H,6D,7H,win
6D,7S,6C,JD,9C,QH,JC,win
7S,QH,KS,QC,AS,KD,8S,win
9H,QS,TS,KC,6H,7H,8H,win
AS,TH,6S,9D,6D,JC,9S,loss
TC,9D,6S,AC,8C,9H,8S,loss
8S,TD,AS,7D,6D,QC,9C,win
6D,7S,8S,AH,9D,TH,KC,loss
TD,JD,TC,KS,9C,QD,KH,win
8C,7C,AS,7S,QH,JH,7H,win
8S,8H,KH,JH,TH,AS,AH,win
TC,QD,7S,JS,JD,TS,9S,win
QD,9H,JD,TD,TH,AS,TS,loss
TS,JH,QH,8S,JS,QD,9S,win
7H,7S,TC,7D,AH,8C,AD,win
QC,7C,9C,KD,KS,JC,QH,win
7H,TS,9S,TD,8S,AS,9H,win
7D,7H,8D,AC,8S,AD,KS,loss
6H,8S,7D,8C,6D,AD,JC,win
KS,8C,KH,6D,6H,7D,JS,loss
6H,KH,JD,TC,KC,KS,JH,win
AH,TC,8H,QH,KD,TH,KS,win
QC,AH,QH,KD,AS,6S,7D,win
7D,6C,TC,7H,9H,8D,9S,loss
7H,6D,AD,8C,9D,7D,JS,loss
KS,KH,6C,8C,9S,KC,6D,win
8D,QD,8C,TH,9C,QC,KH,win
8H,KC,KS,6S,JS,QS,7C,loss
7C,JC,TS,9S,TH,QC,6C,loss
TS,7D,7C,8C,KD,JH,6S,loss
6D,8H,8D,9D,KD,6S,QS,win
TH,AC,TD,JS,AD,9H,TC,win
JD,6D,7S,TH,8S,QH,JS,loss
KD,KS,TS,7C,7S,8S,JC,win
AS,AC,KS,TH,7H,7C,AH,win
JH,KS,8S,7S,TC,QH,6D,loss
JD,AC,KC,6H,TC,TH,9D,loss
KD,AH,AS,8S,6H,KC,TD,win
8H,9D,JD,TC,TH,JC,KD,loss
JH,9D,KS,TC,8C,9H,KD,loss
9H,6C,QH,9S,QD,TD,7S,win
8D,AC,KS,TC,8S,9S,7C,loss
9C,KD,AD,KH,KC,QS,8H,win
6D,TH,KC,AH,AS,TD,QH,loss
KH,AD,8S,6H,AS,TH,QC,loss
KD,QD,JS,QS,AS,9S,KH,win
7H,8C,TS,AD,KC,TC,6C,loss
AH,TH,6C,TS,KD,QC,7D,win
KS,9S,6D,AH,8S,7H,JD,loss
QC,QS,9S,KD,8D,JH,AH,loss
9H,JS,JC,QC,KS,8S,7S,loss
6D,JD,9H,7S,AC,QC,8S,loss
TH,8H,TS,9C,KH,7H,9S,win
QH,QS,8H,6H,QC,KD,9C,win
TD,KS,AD,9D,8S,6S,7S,win
JH,7S,AH,7D,KH,9S,KD,loss
AC,KS,TD,6S,6D,AS,KC,loss
KC,7D,6H,TC,8S,KD,9H,loss
AH,9C,QS,6S,TS,JC,TC,loss
8C,TC,QC,7S,9D,JD,7H,win
AD,AS,6C,7D,6S,JD,9C,loss
AD,TC,6S,6C,TD,TH,TS,win
AC,KS,QH,6C,KC,JH,JD,win
8S,KH,6H,KS,AH,9C,TC,win
6S,7C,KD,9D,7H,KC,8S,loss
TD,TC,8H,7D,KD,QD,7S,win
TH,TC,8C,KD,AS,AC,QD,loss
AD,9S,TC,7H,7C,8S,AC,loss
6C,TD,8H,6S,QC,8D,TS,loss
6S,AD,AC,8S,6C,KH,9H,win
AH,9D,7S,JD,7D,AS,AC,win
8C,TD,9C,AC,JS,QS,QD,win
6C,JC,JS,QS,6D,7S,QH,loss
6H,TS,7D,QH,AC,QC,6C,win
7H,7D,6S,TC,AS,AC,6H,loss
7C,9H,8S,TH,6S,7D,KD,win
8D,6S,TH,JS,JD,TS,8C,loss
TH,JD,9S,6H,8S,AC,KC,loss
AS,6C,QS,KC,9D,KS,TH,loss
TS,7D,KC,7H,QC,6D,AS,loss
9S,KD,AC,KS,TC,7S,6S,loss
6D,QD,KC,AH,9H,TS,6C,loss
JC,JD,6S,QD,AS,7D,9C,win
QD,KS,8D,JS,QH,AC,KH,win
QD,KS,8D,AS,7H,9H,9S,loss
6C,KC,AH,JH,AS,TD,TS,loss
JC,JH,JD,8D,6S,6H,KD,win
TS,QH,8D,QS,TD,AS,KD,loss
7H,6S,KH,AC,JS,8S,QC,loss
6C,JS,JC,6S,8S,AH,KS,win
9C,JD,QS,TS,8H,JS,KC,win
QH,AS,6H,TS,7D,QD,8C,win
QH,KS,6S,8H,TC,AS,JH,win
AD,7C,KD,AH,QC,QD,KC,loss
JH,TC,KH,QC,6S,TS,8H,win
8H,TC,TH,AS,8S,AD,8D,win
AS,JS,TD,7C,AD,9S,QH,win
9H,QS,QD,8S,6S,AS,KH,win
9S,KC,AC,KH,6S,QC,AH,loss
QH,QC,QD,JH,8S,AD,AS,win
7D,KC,KS,9D,QC,JC,8C,win
JD,JC,KS,6H,6C,8C,7H,win
KD,QC,QH,AD,QS,8D,JS,win
8S,7C,6D,9C,KC,9D,TH,win
8C,TS,8H,KS,9S,9C,QS,loss
9H,QH,8C,QD,7C,JC,7D,loss
QD,9D,TC,KC,QC,7H,7D,win
KH,TD,TH,7H,6S,9C,9H,win
QH,6S,QS,8D,KS,TS,6C,win
AD,KD,TS,TH,KH,8C,9C,win
8D,6D,6H,8S,7D,KS,TD,win
8S,9S,JD,7H,9H,JC,KD,win
AS,JC,AC,8S,8C,QS,JS,win
7H,AD,AH,6D,QS,TC,8D,loss
AH,8S,8H,9D,TH,QD,7H,loss
KS,AC,AD,JC,9C,QD,AS,win
7H,8S,TS,6H,7C,7S,JS,win
7C,QH,JC,JS,TC,9D,TH,win
QC,7C,JS,TS,TC,QS,6S,win
8S,7S,6H,9C,KD,6C,8H,loss
AC,QD,7S,KH,9H,TH,KS,loss
JC,AC,7S,8C,6S,6C,KD,loss
7H,JS,6H,6S,9C,AD,8C,loss
KS,6C,KD,8S,JH,JC,7D,win
8D,AS,8C,7C,JS,6S,KD,loss
7D,QC,9S,9H,JD,6H,TH,loss
TH,KC,AS,9S,6H,7D,KS,win
KD,QD,7D,TD,8H,7S,QH,win
TD,6C,7D,AH,QS,9C,JS,loss
QH,9S,KD,8H,6C,7S,7H,loss
9C,9S,7H,QC,KH,QS,JC,win
8H,JD,QH,AD,8S,KS,TH,win
6D,7S,9S,KD,6S,JC,8C,loss
AC,7H,7C,7D,8S,QH,JD,win
JS,6S,7H,6C,AH,7C,8H,win
6H,6D,QH,AC,9H,TD,AH,win
7S,QC,TS,7C,KC,7D,AS,loss
JS,KS,6C,8C,8D,AH,QH,loss
KC,9C,KD,8H,AD,JC,6S,win
9H,9C,QH,AD,8C,TS,9D,win
JH,JS,9D,7C,7S,JC,9H,win
AH,9C,TH,7S,6S,JS,9D,loss
KD,KS,8C,9H,KH,7S,9C,win
8C,7C,AD,9S,9C,JS,JH,win
7S,AH,JD,AS,7C,9D,KC,loss
6H,QH,8D,JD,QD,TS,AH,loss
8H,KC,7D,AC,JD,9C,8S,loss
KH,9H,6C,TH,JH,8D,AD,loss
QC,6H,TS,9H,6S,AS,7D,loss
AD,9H,KC,QS,9D,8C,6D,loss
JC,7H,8S,9S,JS,QC,AD,loss
KH,8H,JH,QC,QD,6C,AS,loss
KH,AS,7H,AD,6D,9D,7S,win
8S,QC,8C,TD,QH,JC,KD,loss
QD,AS,7C,7S,7H,8H,KD,loss
JS,8D,TC,6C,QD,KC,8H,loss
QS,KS,QD,9H,8C,9S,8D,win
6C,6D,9D,9C,KS,KH,JC,loss
7S,AC,7D,TC,AD,6D,AS,win
9C,JD,QD,8H,JS,7C,AS,loss
TD,TC,TS,7D,AS,9H,8C,win
6C,9D,TS,AH,8C,9H,6H,loss
7D,9D,6H,TH,KD,AS,9S,win
QC,9D,8S,QS,KC,9S,JH,loss
7H,QC,QS,8H,6D,6H,8C,win
AH,TC,QS,KS,JD,AC,QD,win
AD,QH,9C,7D,KC,TC,8S,loss
9C,QC,6S,AS,JC,JS,9H,loss
TH,JH,9C,8H,6C,9D,7C,win
KS,6S,QD,8H,8C,JH,JD,loss
7C,9H,QD,7H,QH,TS,KC,loss
6S,TC,AS,QC,JC,9D,KC,win
9H,7H,TS,TC,6H,JH,9D,loss
7H,AD,7D,QD,KH,6D,KD,win
AS,QC,JS,8S,KS,6H,JH,loss
QD,7S,8D,QS,JS,JH,TH,loss
8H,9S,8S,8C,AH,9H,JD,win
AC,JS,6S,JH,QC,9D,AD,win
9H,QD,9D,7S,TH,6C,KC,win
AD,TH,9S,8D,TS,JD,8H,loss
JD,9H,JC,8H,7S,QS,8S,loss
9H,6S,TD,8D,7D,KH,TC,win
TC,6D,6S,AS,8C,AH,6C,win
TD,7S,AH,KH,6D,TC,AS,win
JS,QS,JH,AC,7D,8C,9S,win
KH,8S,AD,9D,QC,TD,9C,loss
7D,TD,9D,AC,AD,6D,QS,win
QC,8S,9H,7D,9C,AC,JC,loss
TD,QC,JS,7S,JC,9S,AH,loss
7S,8C,9D,KH,TS,AC,JH,loss
7S,6H,QS,8H,7C,6S,KC,loss
JH,7H,7C,KS,AS,7S,KH,win
KC,9H,7D,QD,8D,AD,QH,loss
9H,QC,JH,8C,7S,JS,AC,loss
TC,TD,8H,9C,KH,JS,TS,win
9D,9C,QH,KC,6S,6H,7D,loss
JC,TH,8S,6H,7S,8C,QH,loss
9D,8D,7C,AS,TC,9C,6H,win
AS,9H,7H,7C,8H,QC,AC,win
TS,JS,9C,KS,TH,8S,TC,win
AD,6S,9D,6D,TC,TD,8H,loss
AH,6C,JC,7D,QD,QC,AC,win
TC,7D,JD,8H,KS,6S,9H,win
KD,JH,QC,8S,6H,9S,KS,win
6S,9S,JC,QD,TC,QC,9C,win
9S,7H,QS,8C,QC,8S,9D,loss
KS,TC,KH,TD,QS,7C,8C,win
KD,8D,QD,9C,7C,KC,TH,win
6S,9S,6C,TC,KC,KH,9H,win
JH,QD,KH,9S,7D,7S,TH,loss
KD,QH,KC,JC,AS,QD,7C,win
KD,QD,6S,7D,6C,TC,8D,loss
8D,8C,TD,6C,6D,QS,9H,win
JD,6H,TS,8H,AD,6D,QS,loss
QH,6C,QS,7C,8C,7D,8D,win
QS,AH,JS,TS,6H,9C,7C,loss
QC,9D,JC,KS,JD,QS,TC,loss
6C,7C,JH,KC,8H,9S,AC,loss
KD,9S,AH,TC,9H,7C,JH,loss
6S,6H,8H,QH,AS,8C,7H,loss
7C,9S,KH,AS,TH,AC,9C,win
7H,6S,8S,TH,KH,QC,6D,loss
JH,KC,JD,8H,AD,QH,JC,win
QS,AS,7C,QD,9S,AC,QH,win
KH,TH,KC,AC,TD,6H,AS,win
TH,8C,6H,QS,8S,KC,KD,win
AS,7D,QH,KH,JH,TS,JC,win
8S,TS,9D,8H,AC,KS,JC,loss
6H,KC,9H,QC,8S,AD,9S,loss
8C,JD,KD,TS,JS,AS,6C,win
8D,QD,8C,6C,TD,9H,JS,win
8C,8S,QD,KD,6H,AS,AD,loss
9H,8D,6C,KS,6D,6S,JD,loss
9S,6S,QS,KD,KC,6H,JH,loss
8H,JC,TC,JD,9C,JS,QC,win
KD,9C,6C,AH,AS,JH,JS,loss
AH,AS,KS,TH,JH,AD,JC,win
TC,TD,KC,KH,JS,TS,9D,win
9D,9H,KC,7S,6H,KS,7H,loss
KD,AD,8C,QS,TH,6S,8S,loss
QD,7C,AD,8D,KS,AC,QS,loss
JS,AS,8C,8D,7S,JC,QH,win
KS,7S,QC,AS,9S,JC,JD,loss
9D,TC,9H,6H,AD,7S,AH,win
KH,JC,AD,QS,JS,7S,6D,loss
7H,TD,KC,TH,7C,JS,KS,loss
8H,7H,TD,QD,6C,9H,6H,loss
QH,9C,QD,6H,9S,JC,6S,win
TD,KC,AD,QH,KD,JC,JH,loss
9S,QH,7D,KH,JD,7H,AD,loss
AD,9H,JS,TD,KC,AH,7H,win
8H,JH,AD,JC,QS,QD,6C,win
9D,8D,JC,8C,JH,AH,AS,loss
TC,AS,KD,TS,AD,9H,AC,win
TC,JH,6C,KC,JD,9S,8S,loss
JS,6D,9S,QS,7H,8C,AH,loss
6C,9D,8C,KD,7S,AC,TD,win
JS,9D,9S,6H,JC,TS,8C,loss
AC,QS,8D,7D,KH,TD,JH,win
JC,KS,7C,QC,9H,9S,8C,loss
7H,6D,8D,7C,9D,6S,JC,win
