card1,card2,card3,card4,card5,card6,card7,result
AS,7C,6H,6S,JH,KC,9H,loss
8D,AD,AC,JD,9S,7S,8C,loss
9H,6H,AC,JD,7H,JS,9S,loss
QS,TD,9C,KC,8S,9D,QD,win
JH,6S,9C,6C,8S,AH,KH,loss
JS,KC,KD,KH,6C,TH,AC,win
AD,6H,8C,9H,8S,QD,KS,loss
AS,9H,TC,QH,QC,9C,7H,loss
JH,KS,6H,KD,QD,9S,KC,win
8D,QH,8S,9D,TD,TS,7C,loss
KH,AH,TD,7D,JC,8C,AC,loss
JH,TD,7H,AD,TH,6S,8S,win
KS,6D,7D,9C,JD,JS,QH,loss
AS,7D,8D,JH,TH,KC,9H,win
JH,QS,7S,JD,JC,6H,AC,win
8S,7D,QC,TD,7S,JC,TS,loss
8C,QC,QS,TC,AH,8S,JH,loss
KS,9D,AC,8S,JD,7S,TH,win
QD,QC,TH,JH,6C,AS,6H,loss
QH,AC,KS,9C,7S,8D,9S,loss
7D,6C,AD,9S,AC,JC,6H,loss
JC,QC,KC,JD,7H,TD,KD,win
JH,KH,AC,7H,KD,TH,QC,win
TC,KC,KS,QD,TD,8S,8H,win
JH,7S,KS,8D,6D,KH,JD,win
9C,8C,JH,TH,9D,7S,JC,win
9C,9H,8D,KS,KD,9S,JS,win
TS,JH,8D,6C,6S,8C,JC,win
TC,JC,8S,TH,TS,KC,QS,win
AC,7H,TC,KS,6D,9H,9D,loss
9H,JD,TD,JH,KH,6H,KS,win
9D,9C,AD,AS,QS,8C,8S,loss
8C,6D,6S,7H,6C,7D,QH,win
QC,AS,JD,QH,TC,7S,8S,loss
7S,8D,JS,9D,9C,AS,QS,loss
QS,6H,KD,KC,7S,8D,QH,win
JH,QH,6D,QC,9C,9D,KC,loss
6C,KS,8S,TC,8H,TS,AS,loss
JC,8C,JH,6D,QD,JS,6H,win
TS,QS,7D,TH,9C,TC,KC,win
QH,TC,KD,9C,JD,KC,9H,win
7D,TC,KS,7H,KD,9S,JC,loss
7S,JD,6H,6S,9S,7H,9D,win
KC,6H,7S,6S,7C,AC,9C,win
8H,7H,AC,TD,QC,6D,9S,win
6D,KH,JH,JD,8S,8H,QS,loss
KC,6S,7H,AS,7C,6D,KH,loss
9S,9C,6C,AD,8S,7H,KH,loss
QH,KH,JD,QC,9S,6S,6H,win
KH,6H,KD,8S,TS,8C,AS,win
8D,KH,9C,7C,JC,9D,KD,loss
8H,JS,7H,KS,JH,9C,QH,loss
QS,JD,KC,TC,QD,QH,6H,win
JH,TH,JS,7D,QS,6D,QD,win
9S,AD,QC,7S,9D,JD,AS,win
7D,AH,QS,6D,AD,TC,9H,loss
6S,KS,KC,TS,9S,JD,8D,loss
9S,8C,KD,8S,8H,TD,KC,win
KD,AS,8H,QC,TC,8S,TH,loss
KD,JC,8D,6D,7H,AC,KC,win
6H,QC,8S,AH,TD,7S,TS,loss
9D,9S,6S,KC,JC,8S,AS,win
8C,8S,AD,KH,KC,7H,7S,loss
TS,6C,JS,6H,6D,AH,9C,win
JH,8C,TS,JD,JC,6S,JS,win
9C,QD,JC,AH,JS,QS,JH,win
AD,QS,JH,9S,TC,6S,7C,loss
KH,QH,7H,9H,JS,6H,TC,win
7S,JC,8S,KC,QH,7D,9H,loss
AC,KS,AD,9S,QD,KC,6D,win
6C,KH,TD,7S,6D,QD,JH,loss
KH,AS,6S,9H,6C,JC,KC,win
8C,8S,TC,QH,TS,KH,9H,win
QC,JH,7H,9C,QS,TD,QD,win
TS,QD,6D,TC,JD,9D,QH,loss
TC,TH,QC,TS,AC,KC,KS,win
KS,JD,7D,9D,KC,8H,7S,win
QD,9C,8S,TC,8H,9D,7H,loss
6D,TS,JD,7S,AS,8S,9C,win
6S,AS,KC,8D,JD,AD,6D,loss
8D,TH,8C,KC,TC,AH,7D,win
TD,8H,7C,AH,6S,6H,KD,loss
AC,QD,JD,KC,TD,JS,8H,loss
KC,6H,QS,KD,6D,QC,9S,win
6S,JC,6C,JD,8H,AC,7D,win
7S,8D,TD,7C,KD,JD,6H,loss
JH,AS,KS,JS,7S,QD,7D,win
7H,9S,QD,TC,AH,KC,TH,loss
6C,TH,9C,AD,6H,JD,8D,loss
KH,KD,TD,8D,AH,6C,7S,loss
6D,9C,9S,KH,QH,8H,KC,win
6S,KC,AC,8H,KH,QD,JC,loss
JS,TD,KH,JC,9D,8S,9S,win
AS,7H,9C,AC,8C,JD,6D,win
TH,AC,8S,9D,KS,KH,JD,loss
9D,JD,AH,8S,6C,9C,AS,win
TS,JC,8H,6C,AH,AS,QD,loss
KS,QS,6D,QD,JH,9S,7H,win
QC,TH,QD,KD,AD,JH,9C,win
6S,AD,QS,7C,QC,9D,7H,loss
8D,6S,KS,9D,KH,8S,AS,loss
KC,AD,TS,8S,KS,QH,6H,loss
JH,QS,JS,9C,JD,9H,6D,win
7H,6H,9S,QS,8C,KH,7D,loss
KS,QH,9D,AD,7H,KD,AS,loss
JC,JH,7H,9H,6D,QD,8C,loss
9C,QC,QH,9S,AC,8S,9D,win
6D,JC,JS,9D,AC,7S,9C,win
JH,TS,7C,AD,JC,7S,6C,win
6S,AC,8C,9S,QC,TS,8H,loss
QC,KD,8H,7S,7D,9S,JD,loss
9S,AH,8D,6C,7H,KC,8H,loss
KC,9C,8S,AH,TD,7D,6D,win
KD,6C,7C,8C,9S,KH,AC,win
QS,TH,8H,KS,8C,7H,7S,win
TH,9S,AS,7C,8D,TD,QC,win
JD,8D,AS,QC,8C,JH,KH,loss
7S,QH,JD,QD,KS,KC,QC,win
8C,AC,9D,AH,JD,7H,TC,win
6D,7D,TH,KC,6S,9H,9D,loss
JC,QH,6D,TH,QC,7C,9S,loss
JH,AH,QD,6C,KC,AD,QH,win
TH,KH,AC,TS,QS,KC,TC,win
AC,TD,8S,9D,AD,TH,QD,win
8S,8H,TC,7S,QC,AD,KC,loss
8S,7D,QC,9C,JD,QH,KH,loss
7D,QD,AH,7C,TS,TD,JS,win
7C,TD,AC,JD,TC,KH,JH,win
7C,TC,8H,8D,7H,8S,JD,win
TD,6C,8S,6D,AS,9D,TH,loss
KS,QS,6D,AC,QH,KD,8H,win
9D,6D,8D,KC,JH,6H,QS,loss
AD,KS,9C,9S,JS,AS,JH,win
QH,TD,AH,7S,KC,JH,JC,win
6S,AS,8H,QD,TD,JH,8D,loss
KS,JS,6H,7S,8H,8C,9H,loss
7S,KC,9H,QD,TH,AD,KS,loss
6S,AC,KS,6H,QC,AS,9D,win
JD,8D,8S,7C,TD,7D,KH,loss
KD,KH,TH,TC,QS,TD,AH,win
